"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OptimizeByComputingLinearization","_cmsICCcolorSpace","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspcs.c",1028,1244,764,764,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsICCcolorSpace(int) -> cmsColorSpaceSignature","int OurNotation","cmsColorSpaceSignature","(unnamed enum)"
"OptimizeByComputingLinearization","cmsStageSampleCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,750,750,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int"
"OptimizeByComputingLinearization","cmsStageData","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1230,1230,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageData(const cmsStage *) -> void *","const cmsStage * mpe","void *","void *"
"OptimizeByComputingLinearization","cmsStageType","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1225,1225,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"OptimizeByComputingLinearization","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1235,1235,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByComputingLinearization","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1235,1235,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByComputingLinearization","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1235,1235,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByComputingLinearization","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,1235,1235,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByComputingLinearization","cmsStageAllocCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,610,610,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"OptimizeByComputingLinearization","cmsStageAllocCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1028,1244,610,610,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
