"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OptimizeByResampling","_cmsICCcolorSpace","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspcs.c",632,796,764,764,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsICCcolorSpace(int) -> cmsColorSpaceSignature","int OurNotation","cmsColorSpaceSignature","(unnamed enum)"
"OptimizeByResampling","cmsStageSampleCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,750,750,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int"
"OptimizeByResampling","cmsStageType","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1225,1225,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"OptimizeByResampling","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1235,1235,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1235,1235,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1235,1235,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1235,1235,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageFree","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1206,1206,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"OptimizeByResampling","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1242,1242,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1242,1242,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1242,1242,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,1242,1242,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageAllocCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,610,610,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"OptimizeByResampling","cmsStageAllocCLut16bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",632,796,610,610,"OptimizeByResampling(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
