"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OptimizeMatrixShaper","cmsStageData","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,1230,1230,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageData(const cmsStage *) -> void *","const cmsStage * mpe","void *","void *"
"OptimizeMatrixShaper","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,1242,1242,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,1242,1242,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,1242,1242,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageDup","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,1242,1242,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageDup(cmsStage *) -> cmsStage *","cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,379,379,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,379,379,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,379,379,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,379,379,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"OptimizeMatrixShaper","cmsPipelineCheckAndRetreiveStages","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1664,1781,110,110,"OptimizeMatrixShaper(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineCheckAndRetreiveStages(const cmsPipeline *, cmsUInt32Number) -> cmsBool","const cmsPipeline * Lut, cmsUInt32Number n","cmsBool","int"
