"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"EmitCIEBasedDEF","cmsStageType","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",772,826,1225,1225,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"EmitCIEBasedDEF","cmsStageOutputChannels","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",772,826,1220,1220,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageOutputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"EmitCIEBasedDEF","cmsStageInputChannels","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",772,826,1215,1215,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageInputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"EmitCIEBasedDEF","_cmsIOPrintf","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsplugin.c",772,826,493,493,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","_cmsIOPrintf(cmsIOHANDLER *, const char *) -> cmsBool","cmsIOHANDLER * io, const char * frm","cmsBool","int"
"EmitCIEBasedDEF","_cmsStageGetPtrToCurveSet","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",772,826,159,159,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","_cmsStageGetPtrToCurveSet(const cmsStage *) -> cmsToneCurve **","const cmsStage * mpe","cmsToneCurve **","_cms_curve_struct **"
"EmitCIEBasedDEF","EmitWhiteBlackD50","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",772,826,379,379,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitWhiteBlackD50(cmsIOHANDLER *, cmsCIEXYZ *) -> void","cmsIOHANDLER * m, cmsCIEXYZ * BlackPoint","void","void"
"EmitCIEBasedDEF","WriteCLUT","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",772,826,664,664,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","WriteCLUT(cmsIOHANDLER *, cmsStage *, const char *, const char *, const char *, const char *, int, cmsColorSpaceSignature) -> void","cmsIOHANDLER * m, cmsStage * mpe, const char * PreMaj, const char * PostMaj, const char * PreMin, const char * PostMin, int FixWhite, cmsColorSpaceSignature ColorSpace","void","void"
"EmitCIEBasedDEF","EmitIntent","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",772,826,403,403,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitIntent(cmsIOHANDLER *, cmsUInt32Number) -> void","cmsIOHANDLER * m, cmsUInt32Number RenderingIntent","void","void"
"EmitCIEBasedDEF","EmitNGamma","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",772,826,546,546,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitNGamma(cmsIOHANDLER *, cmsUInt32Number, cmsToneCurve *[]) -> void","cmsIOHANDLER * m, cmsUInt32Number n, cmsToneCurve *[] g","void","void"
"EmitCIEBasedDEF","EmitLab2XYZ","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",772,826,445,445,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitLab2XYZ(cmsIOHANDLER *) -> void","cmsIOHANDLER * m","void","void"
