"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"WriteCLUT","cmsStageSampleCLut16bit","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",670,699,750,750,"WriteCLUT(cmsIOHANDLER *, cmsStage *, const char *, const char *, const char *, const char *, int, cmsColorSpaceSignature) -> void","cmsIOHANDLER * m, cmsStage * mpe, const char * PreMaj, const char * PostMaj, const char * PreMin, const char * PostMin, int FixWhite, cmsColorSpaceSignature ColorSpace","void","void","cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int"
"WriteCLUT","_cmsIOPrintf","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsplugin.c",670,699,493,493,"WriteCLUT(cmsIOHANDLER *, cmsStage *, const char *, const char *, const char *, const char *, int, cmsColorSpaceSignature) -> void","cmsIOHANDLER * m, cmsStage * mpe, const char * PreMaj, const char * PostMaj, const char * PreMin, const char * PostMin, int FixWhite, cmsColorSpaceSignature ColorSpace","void","void","_cmsIOPrintf(cmsIOHANDLER *, const char *) -> cmsBool","cmsIOHANDLER * io, const char * frm","cmsBool","int"
"WriteCLUT","memset","/src/lcms/src/cmstypes.c","/usr/include/string.h",2642,2684,62,62,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"WriteCLUT","_cmsWriteAlignment","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2642,2684,473,473,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","_cmsWriteAlignment(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"WriteCLUT","_cmsWriteUInt16Array","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2642,2684,276,276,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","_cmsWriteUInt16Array(cmsIOHANDLER *, cmsUInt32Number, const cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n, const cmsUInt16Number * Array","cmsBool","int"
"WriteCLUT","_cmsWriteUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2642,2684,253,253,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","_cmsWriteUInt8Number(cmsIOHANDLER *, cmsUInt8Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number n","cmsBool","int"
"WriteCLUT","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",2642,2684,509,509,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"WriteCLUT","FileWrite","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2642,2684,355,355,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","FileWrite(cmsIOHANDLER *, cmsUInt32Number, const void *) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number size, const void * Buffer","cmsBool","int"
"WriteCLUT","MemoryWrite","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2642,2684,196,196,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","MemoryWrite(_cms_io_handler *, cmsUInt32Number, const void *) -> cmsBool","_cms_io_handler * iohandler, cmsUInt32Number size, const void * Ptr","cmsBool","int"
"WriteCLUT","NULLWrite","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2642,2684,76,76,"WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int","NULLWrite(cmsIOHANDLER *, cmsUInt32Number, const void *) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number size, const void * Ptr","cmsBool","int"
