"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"WriteInputLUT","cmsDetectBlackPoint","/src/lcms/src/cmsps2.c","/src/lcms/src/cmssamp.c",862,934,191,191,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDetectBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int"
"WriteInputLUT","cmsDeleteTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",862,934,147,147,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"WriteInputLUT","cmsCreateMultiprofileTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",862,934,1180,1180,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCreateMultiprofileTransform(cmsHPROFILE[], cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE[] hProfiles, cmsUInt32Number nProfiles, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"WriteInputLUT","cmsCreateLab4ProfileTHR","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsvirt.c",862,934,521,521,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"WriteInputLUT","cmsCloseProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",862,934,1433,1433,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"WriteInputLUT","cmsFormatterForColorspaceOfProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmspack.c",862,934,3408,3408,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"WriteInputLUT","cmsPipelineDup","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",862,934,1456,1456,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"WriteInputLUT","cmsPipelineDup","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",862,934,1456,1456,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"WriteInputLUT","cmsPipelineDup","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",862,934,1456,1456,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"WriteInputLUT","cmsPipelineDup","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",862,934,1456,1456,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
