"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"WriteNamedColorCRD","cmsDoTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",1412,1463,175,175,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"WriteNamedColorCRD","cmsDeleteTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",1412,1463,147,147,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"WriteNamedColorCRD","cmsCreateTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",1412,1463,1219,1219,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"WriteNamedColorCRD","cmsFormatterForColorspaceOfProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmspack.c",1412,1463,3408,3408,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,739,739,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,739,739,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,739,739,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,739,739,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsNamedColorInfo","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,627,627,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsNamedColorInfo(const cmsNAMEDCOLORLIST *, cmsUInt32Number, char *, char *, char *, cmsUInt16Number *, cmsUInt16Number *) -> cmsBool","const cmsNAMEDCOLORLIST * NamedColorList, cmsUInt32Number nColor, char * Name, char * Prefix, char * Suffix, cmsUInt16Number * PCS, cmsUInt16Number * Colorant","cmsBool","int"
"WriteNamedColorCRD","cmsNamedColorCount","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1412,1463,620,620,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsNamedColorCount(const cmsNAMEDCOLORLIST *) -> cmsUInt32Number","const cmsNAMEDCOLORLIST * NamedColorList","cmsUInt32Number","unsigned int"
