"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsGetPostScriptCSA","cmsGetPostScriptColorResource","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",1579,1597,1519,1519,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsGetPostScriptColorResource(cmsContext, cmsPSResourceType, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsPSResourceType Type, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * io","cmsUInt32Number","unsigned int"
"cmsGetPostScriptCSA","cmsCloseIOhandler","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,473,473,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,100,100,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,100,100,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,100,100,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,100,100,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,238,238,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,238,238,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,238,238,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsGetPostScriptCSA","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1579,1597,238,238,"cmsGetPostScriptCSA(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
