"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ReadCLUT","cmsStageFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2340,2398,1206,1206,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsStageFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"ReadCLUT","cmsStageAllocCLut16bitGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2340,2398,550,550,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsStageAllocCLut16bitGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"ReadCLUT","cmsStageAllocCLut16bitGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2340,2398,550,550,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsStageAllocCLut16bitGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"ReadCLUT","cmsStageAllocCLut16bitGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2340,2398,550,550,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsStageAllocCLut16bitGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"ReadCLUT","cmsStageAllocCLut16bitGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2340,2398,550,550,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsStageAllocCLut16bitGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"ReadCLUT","_cmsReadUInt16Array","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2340,2398,137,137,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","_cmsReadUInt16Array(cmsIOHANDLER *, cmsUInt32Number, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n, cmsUInt16Number * Array","cmsBool","int"
"ReadCLUT","_cmsReadUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2340,2398,111,111,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","_cmsReadUInt8Number(cmsIOHANDLER *, cmsUInt8Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number * n","cmsBool","int"
"ReadCLUT","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",2340,2398,509,509,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"ReadCLUT","FileRead","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2340,2398,315,315,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","FileRead(cmsIOHANDLER *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","cmsIOHANDLER * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
"ReadCLUT","FileSeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2340,2398,329,329,"ReadCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsStage *","_cmsStage_struct *","FileSeek(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number offset","cmsBool","int"
