"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ReadSetOfCurves","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2430,2457,248,248,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"ReadSetOfCurves","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2430,2457,248,248,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"ReadSetOfCurves","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2430,2457,248,248,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"ReadSetOfCurves","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2430,2457,248,248,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"ReadSetOfCurves","cmsFreeToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",2430,2457,857,857,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"ReadSetOfCurves","_cmsReadAlignment","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2430,2457,456,456,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","_cmsReadAlignment(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"ReadSetOfCurves","FileSeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2430,2457,329,329,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","FileSeek(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number offset","cmsBool","int"
"ReadSetOfCurves","MemorySeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2430,2457,170,170,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","MemorySeek(_cms_io_handler *, cmsUInt32Number) -> cmsBool","_cms_io_handler * iohandler, cmsUInt32Number offset","cmsBool","int"
"ReadSetOfCurves","NULLSeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2430,2457,60,60,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","NULLSeek(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number offset","cmsBool","int"
"ReadSetOfCurves","ReadEmbeddedCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",2430,2457,2401,2401,"ReadSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number, cmsUInt32Number) -> cmsStage *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number Offset, cmsUInt32Number nCurves","cmsStage *","_cmsStage_struct *","ReadEmbeddedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *"
