"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_Curve_Read","cmsFreeToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,857,857,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"Type_Curve_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,728,728,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,728,728,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,728,728,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,728,728,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,821,821,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,821,821,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,821,821,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",1093,1142,821,821,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_Curve_Read","_cms8Fixed8toDouble","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",1093,1142,359,359,"Type_Curve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cms8Fixed8toDouble(cmsUInt16Number) -> cmsFloat64Number","cmsUInt16Number fixed8","cmsFloat64Number","double"
