"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_LUTA2B_Read","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1511,1511,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"Type_LUTA2B_Read","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1511,1511,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"Type_LUTA2B_Read","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1511,1511,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"Type_LUTA2B_Read","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1511,1511,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"Type_LUTA2B_Read","cmsPipelineFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1418,1418,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"Type_LUTA2B_Read","cmsPipelineAlloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1369,1369,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"Type_LUTA2B_Read","cmsPipelineAlloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1369,1369,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"Type_LUTA2B_Read","cmsPipelineAlloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1369,1369,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"Type_LUTA2B_Read","cmsPipelineAlloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2483,2547,1369,1369,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"Type_LUTA2B_Read","_cmsReadUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2483,2547,156,156,"Type_LUTA2B_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
