"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_LUTB2A_Write","cmsPipelineCheckAndRetreiveStages","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2879,2958,110,110,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineCheckAndRetreiveStages(const cmsPipeline *, cmsUInt32Number) -> cmsBool","const cmsPipeline * Lut, cmsUInt32Number n","cmsBool","int"
"Type_LUTB2A_Write","cmsPipelineOutputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2879,2958,1411,1411,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineOutputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","cmsPipelineInputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2879,2958,1405,1405,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineInputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","_cmsWriteUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2879,2958,290,290,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt32Number(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n","cmsBool","int"
"Type_LUTB2A_Write","_cmsWriteUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2879,2958,263,263,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt16Number(cmsIOHANDLER *, cmsUInt16Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number n","cmsBool","int"
"Type_LUTB2A_Write","_cmsWriteUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2879,2958,253,253,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt8Number(cmsIOHANDLER *, cmsUInt8Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number n","cmsBool","int"
"Type_LUTB2A_Write","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",2879,2958,509,509,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"Type_LUTB2A_Write","FileSeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2879,2958,329,329,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","FileSeek(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number offset","cmsBool","int"
"Type_LUTB2A_Write","FileTell","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2879,2958,342,342,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","FileTell(cmsIOHANDLER *) -> cmsUInt32Number","cmsIOHANDLER * iohandler","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","MemorySeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2879,2958,170,170,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","MemorySeek(_cms_io_handler *, cmsUInt32Number) -> cmsBool","_cms_io_handler * iohandler, cmsUInt32Number offset","cmsBool","int"
"Type_LUTB2A_Write","MemoryTell","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2879,2958,185,185,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","MemoryTell(_cms_io_handler *) -> cmsUInt32Number","_cms_io_handler * iohandler","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","NULLSeek","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",2879,2958,60,60,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","NULLSeek(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number offset","cmsBool","int"
