"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_MPEclut_Read","cmsStageFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4317,4361,1206,1206,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"Type_MPEclut_Read","cmsStageAllocCLutFloatGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4317,4361,645,645,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocCLutFloatGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsFloat32Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsFloat32Number * Table","cmsStage *","_cmsStage_struct *"
"Type_MPEclut_Read","cmsStageAllocCLutFloatGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4317,4361,645,645,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocCLutFloatGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsFloat32Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsFloat32Number * Table","cmsStage *","_cmsStage_struct *"
"Type_MPEclut_Read","cmsStageAllocCLutFloatGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4317,4361,645,645,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocCLutFloatGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsFloat32Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsFloat32Number * Table","cmsStage *","_cmsStage_struct *"
"Type_MPEclut_Read","cmsStageAllocCLutFloatGranular","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4317,4361,645,645,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocCLutFloatGranular(cmsContext, const cmsUInt32Number[], cmsUInt32Number, cmsUInt32Number, const cmsFloat32Number *) -> cmsStage *","cmsContext ContextID, const cmsUInt32Number[] clutPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsFloat32Number * Table","cmsStage *","_cmsStage_struct *"
"Type_MPEclut_Read","_cmsReadFloat32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4317,4361,169,169,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadFloat32Number(cmsIOHANDLER *, cmsFloat32Number *) -> cmsBool","cmsIOHANDLER * io, cmsFloat32Number * n","cmsBool","int"
"Type_MPEclut_Read","_cmsReadUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4317,4361,124,124,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt16Number(cmsIOHANDLER *, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number * n","cmsBool","int"
"Type_MPEclut_Read","FileRead","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",4317,4361,315,315,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","FileRead(cmsIOHANDLER *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","cmsIOHANDLER * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
"Type_MPEclut_Read","MemoryRead","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",4317,4361,147,147,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","MemoryRead(_cms_io_handler *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","_cms_io_handler * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
"Type_MPEclut_Read","NULLRead","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",4317,4361,48,48,"Type_MPEclut_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","NULLRead(cmsIOHANDLER *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","cmsIOHANDLER * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
