"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_MPEcurve_Read","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4062,4098,248,248,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"Type_MPEcurve_Read","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4062,4098,248,248,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"Type_MPEcurve_Read","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4062,4098,248,248,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"Type_MPEcurve_Read","cmsStageAllocToneCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4062,4098,248,248,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"Type_MPEcurve_Read","cmsFreeToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4062,4098,857,857,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"Type_MPEcurve_Read","_cmsReadUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4062,4098,124,124,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt16Number(cmsIOHANDLER *, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number * n","cmsBool","int"
"Type_MPEcurve_Read","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4062,4098,292,292,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_MPEcurve_Read","_cmsCalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4062,4098,278,278,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsCalloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number num, cmsUInt32Number size","void *","void *"
"Type_MPEcurve_Read","FileTell","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",4062,4098,342,342,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","FileTell(cmsIOHANDLER *) -> cmsUInt32Number","cmsIOHANDLER * iohandler","cmsUInt32Number","unsigned int"
"Type_MPEcurve_Read","MemoryTell","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsio0.c",4062,4098,185,185,"Type_MPEcurve_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","MemoryTell(_cms_io_handler *) -> cmsUInt32Number","_cms_io_handler * iohandler","cmsUInt32Number","unsigned int"
