"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_vcgt_Read","cmsFreeToneCurveTriple","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,895,895,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsFreeToneCurveTriple(cmsToneCurve *[3]) -> void","cmsToneCurve *[3] Curve","void","void"
"Type_vcgt_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,728,728,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,728,728,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,728,728,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,728,728,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,821,821,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,821,821,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,821,821,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","cmsBuildParametricToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4642,4771,821,821,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsBuildParametricToneCurve(cmsContext, cmsInt32Number, const cmsFloat64Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsInt32Number Type, const cmsFloat64Number[] Params","cmsToneCurve *","_cms_curve_struct *"
"Type_vcgt_Read","pow","/src/lcms/src/cmstypes.c","/usr/include/x86_64-linux-gnu/bits/mathcalls.h",4642,4771,153,153,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","pow(double, double) -> double","double __x, double __y","double","double"
"Type_vcgt_Read","_cmsReadUInt16Array","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4642,4771,137,137,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt16Array(cmsIOHANDLER *, cmsUInt32Number, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n, cmsUInt16Number * Array","cmsBool","int"
"Type_vcgt_Read","_cmsRead15Fixed16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4642,4771,219,219,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsRead15Fixed16Number(cmsIOHANDLER *, cmsFloat64Number *) -> cmsBool","cmsIOHANDLER * io, cmsFloat64Number * n","cmsBool","int"
"Type_vcgt_Read","_cmsReadUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4642,4771,156,156,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"Type_vcgt_Read","_cmsReadUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4642,4771,124,124,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt16Number(cmsIOHANDLER *, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number * n","cmsBool","int"
"Type_vcgt_Read","_cmsReadUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4642,4771,111,111,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt8Number(cmsIOHANDLER *, cmsUInt8Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number * n","cmsBool","int"
"Type_vcgt_Read","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4642,4771,292,292,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_vcgt_Read","_cmsCalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4642,4771,278,278,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsCalloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number num, cmsUInt32Number size","void *","void *"
"Type_vcgt_Read","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4642,4771,509,509,"Type_vcgt_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
