"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"CreateNamedColorDevicelink","cmsChangeBuffersFormat","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsxform.c",946,992,1310,1310,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsChangeBuffersFormat(cmsHTRANSFORM, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsHTRANSFORM hTransform, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat","cmsBool","int"
"CreateNamedColorDevicelink","cmsDoTransform","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsxform.c",946,992,175,175,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"CreateNamedColorDevicelink","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,1433,1433,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"CreateNamedColorDevicelink","cmsChannelsOf","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmspcs.c",946,992,877,877,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsChannelsOf(cmsColorSpaceSignature) -> cmsUInt32Number","cmsColorSpaceSignature ColorSpace","cmsUInt32Number","unsigned int"
"CreateNamedColorDevicelink","_cmsLCMScolorSpace","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmspcs.c",946,992,810,810,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","_cmsLCMScolorSpace(cmsColorSpaceSignature) -> int","cmsColorSpaceSignature ProfileSpace","int","int"
"CreateNamedColorDevicelink","cmsSetDeviceClass","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,971,971,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetDeviceClass(cmsHPROFILE, cmsProfileClassSignature) -> void","cmsHPROFILE hProfile, cmsProfileClassSignature sig","void","void"
"CreateNamedColorDevicelink","cmsSetColorSpace","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,959,959,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetColorSpace(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature sig","void","void"
"CreateNamedColorDevicelink","cmsSetPCS","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,947,947,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetPCS(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature pcs","void","void"
"CreateNamedColorDevicelink","cmsWriteTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,1637,1637,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int"
"CreateNamedColorDevicelink","cmsCreateProfilePlaceholder","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",946,992,489,489,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsCreateProfilePlaceholder(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *"
