"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"NullXFORM","memset","/src/lcms/src/cmsxform.c","/usr/include/string.h",352,379,62,62,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"NullXFORM","_cmsHandleExtraChannels","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsalpha.c",352,379,527,527,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","_cmsHandleExtraChannels(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void"
"NullXFORM","PackHalfFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2882,2882,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackHalfFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","UnrollHalfTo16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2776,2776,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","UnrollHalfTo16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wIn, cmsUInt8Number * accum, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackFloatFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2487,2487,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackFloatFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackDoubleFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2434,2434,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackDoubleFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackXYZFloatFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2399,2399,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackXYZFloatFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * Info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackXYZDoubleFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2370,2370,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackXYZDoubleFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * Info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackLabFloatFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2339,2339,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackLabFloatFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
"NullXFORM","PackLabDoubleFrom16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",352,379,2312,2312,"NullXFORM(_cmsTRANSFORM *, const void *, void *, cmsUInt32Number, cmsUInt32Number, const cmsStride *) -> void","_cmsTRANSFORM * p, const void * in, void * out, cmsUInt32Number PixelsPerLine, cmsUInt32Number LineCount, const cmsStride * Stride","void","void","PackLabDoubleFrom16(_cmsTRANSFORM *, cmsUInt16Number[], cmsUInt8Number *, cmsUInt32Number) -> cmsUInt8Number *","_cmsTRANSFORM * info, cmsUInt16Number[] wOut, cmsUInt8Number * output, cmsUInt32Number Stride","cmsUInt8Number *","unsigned char *"
