"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TransformOnePixelWithGamutCheck","_cmsContextGetClientChunk","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsplugin.c",427,443,691,691,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","_cmsContextGetClientChunk(cmsContext, _cmsMemoryClient) -> void *","cmsContext ContextID, _cmsMemoryClient mc","void *","void *"
"TransformOnePixelWithGamutCheck","DefaultEvalParametricFn","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsgamma.c",427,443,313,313,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","DefaultEvalParametricFn(cmsInt32Number, const cmsFloat64Number[], cmsFloat64Number) -> cmsFloat64Number","cmsInt32Number Type, const cmsFloat64Number[] Params, cmsFloat64Number R","cmsFloat64Number","double"
"TransformOnePixelWithGamutCheck","LinLerp1D","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,194,194,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","LinLerp1D(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Value, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"TransformOnePixelWithGamutCheck","Eval1Input","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,267,267,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","Eval1Input(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"TransformOnePixelWithGamutCheck","BilinearInterp16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,397,397,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","BilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"TransformOnePixelWithGamutCheck","TrilinearInterp16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,528,528,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","TrilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"TransformOnePixelWithGamutCheck","TetrahedralInterp16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,708,708,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","TetrahedralInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"TransformOnePixelWithGamutCheck","Eval4Inputs","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,842,842,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","Eval4Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"TransformOnePixelWithGamutCheck","Eval5Inputs","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,1071,1071,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","Eval5Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"TransformOnePixelWithGamutCheck","Eval6Inputs","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",427,443,1160,1160,"TransformOnePixelWithGamutCheck(_cmsTRANSFORM *, const cmsUInt16Number[], cmsUInt16Number[]) -> void","_cmsTRANSFORM * p, const cmsUInt16Number[] wIn, cmsUInt16Number[] wOut","void","void","Eval6Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
