"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsDeleteTransform","cmsFreeProfileSequenceDescription","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsnamed.c",148,172,783,783,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","cmsFreeProfileSequenceDescription(cmsSEQ *) -> void","cmsSEQ * pseq","void","void"
"cmsDeleteTransform","cmsFreeNamedColorList","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsnamed.c",148,172,556,556,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","cmsFreeNamedColorList(cmsNAMEDCOLORLIST *) -> void","cmsNAMEDCOLORLIST * v","void","void"
"cmsDeleteTransform","cmsPipelineFree","/src/lcms/src/cmsxform.c","/src/lcms/src/cmslut.c",148,172,1418,1418,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"cmsDeleteTransform","_cmsFree","/src/lcms/src/cmsxform.c","/src/lcms/src/cmserr.c",148,172,292,292,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"cmsDeleteTransform","__assert_fail","/src/lcms/src/cmsxform.c","/usr/include/assert.h",148,172,69,69,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"cmsDeleteTransform","DefaultEvalParametricFn","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsgamma.c",148,172,313,313,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","DefaultEvalParametricFn(cmsInt32Number, const cmsFloat64Number[], cmsFloat64Number) -> cmsFloat64Number","cmsInt32Number Type, const cmsFloat64Number[] Params, cmsFloat64Number R","cmsFloat64Number","double"
"cmsDeleteTransform","LinLerp1D","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",148,172,194,194,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","LinLerp1D(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Value, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"cmsDeleteTransform","Eval1Input","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",148,172,267,267,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","Eval1Input(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"cmsDeleteTransform","BilinearInterp16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",148,172,397,397,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","BilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"cmsDeleteTransform","TrilinearInterp16","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsintrp.c",148,172,528,528,"cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void","TrilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
