"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"GetIndex","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,739,739,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"GetIndex","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,739,739,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"GetIndex","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,739,739,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"GetIndex","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,739,739,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"GetIndex","cmsNamedColorInfo","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,627,627,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsNamedColorInfo(const cmsNAMEDCOLORLIST *, cmsUInt32Number, char *, char *, char *, cmsUInt16Number *, cmsUInt16Number *) -> cmsBool","const cmsNAMEDCOLORLIST * NamedColorList, cmsUInt32Number nColor, char * Name, char * Prefix, char * Suffix, cmsUInt16Number * PCS, cmsUInt16Number * Colorant","cmsBool","int"
"GetIndex","cmsNamedColorCount","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",693,714,620,620,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","cmsNamedColorCount(const cmsNAMEDCOLORLIST *) -> cmsUInt32Number","const cmsNAMEDCOLORLIST * NamedColorList","cmsUInt32Number","unsigned int"
"GetIndex","atoi","/src/lcms/utils/transicc/transicc.c","/usr/include/stdlib.h",693,714,278,278,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","atoi(const char *) -> int","const char * __nptr","int","int"
"GetIndex","printf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",693,714,362,362,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"GetIndex","FatalError","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",693,714,34,34,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","FatalError(const char *) -> void","const char * frm","void","void"
"GetIndex","GetLine","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",693,714,619,619,"GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short","GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void"
