"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"GetLine","exit","/src/lcms/utils/transicc/transicc.c","/usr/include/stdlib.h",620,644,543,543,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","exit(int) -> void","int __status","void","void"
"GetLine","__builtin_constant_p","/src/lcms/utils/transicc/transicc.c","",620,644,0,0,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","__builtin_constant_p() -> int","","int","int"
"GetLine","toupper","/src/lcms/utils/transicc/transicc.c","/usr/include/ctype.h",620,644,221,221,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","toupper(int) -> int","int __c","int","int"
"GetLine","__ctype_toupper_loc","/src/lcms/utils/transicc/transicc.c","/usr/include/ctype.h",620,644,83,83,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","__ctype_toupper_loc() -> const __int32_t **","","const __int32_t **","signed int **"
"GetLine","vfprintf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,371,371,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","vfprintf(FILE *__restrict__, const char *__restrict__, __gnuc_va_list) -> int","FILE *__restrict__ __s, const char *__restrict__ __format, __gnuc_va_list __arg","int","int"
"GetLine","fileno","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,858,858,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","fileno(FILE *) -> int","FILE * __stream","int","int"
"GetLine","scanf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,431,431,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","scanf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"GetLine","scanf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,446,446,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","scanf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"GetLine","scanf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,431,431,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","scanf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"GetLine","scanf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,446,446,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","scanf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"GetLine","fprintf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",620,644,356,356,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"GetLine","isatty","/src/lcms/utils/transicc/transicc.c","/usr/include/unistd.h",620,644,782,782,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","isatty(int) -> int","int __fd","int","int"
"GetLine","CloseTransforms","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",620,644,604,604,"GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void","CloseTransforms() -> void","","void","void"
