"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OpenTransforms","cmsSetAlarmCodes","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",406,599,113,113,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsSetAlarmCodes(const cmsUInt16Number[16]) -> void","const cmsUInt16Number[16] NewAlarm","void","void"
"OpenTransforms","cmsCreateProofingTransform","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",406,599,1262,1262,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateProofingTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE InputProfile, cmsUInt32Number InputFormat, cmsHPROFILE OutputProfile, cmsUInt32Number OutputFormat, cmsHPROFILE ProofingProfile, cmsUInt32Number nIntent, cmsUInt32Number ProofingIntent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"OpenTransforms","cmsCreateTransform","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",406,599,1219,1219,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"OpenTransforms","cmsCreateXYZProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsvirt.c",406,599,607,607,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateXYZProfile() -> cmsHPROFILE","","cmsHPROFILE","void *"
"OpenTransforms","cmsCreateLab4Profile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsvirt.c",406,599,560,560,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateLab4Profile(const cmsCIExyY *) -> cmsHPROFILE","const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"OpenTransforms","cmsCloseProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,1433,1433,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"OpenTransforms","cmsFormatterForPCSOfProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspack.c",406,599,3421,3421,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsFormatterForPCSOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsFormatterForColorspaceOfProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspack.c",406,599,3408,3408,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsGetDeviceClass","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,965,965,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"OpenTransforms","cmsGetColorSpace","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,953,953,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"OpenTransforms","cmsGetPCS","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,941,941,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetPCS(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"OpenTransforms","cmsReadTag","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,1500,1500,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *"
"OpenTransforms","cmsIsTag","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",406,599,650,650,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsIsTag(cmsHPROFILE, cmsTagSignature) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig","cmsBool","int"
"OpenTransforms","cmsNamedColorCount","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",406,599,620,620,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsNamedColorCount(const cmsNAMEDCOLORLIST *) -> cmsUInt32Number","const cmsNAMEDCOLORLIST * NamedColorList","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",406,599,563,563,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",406,599,563,563,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",406,599,563,563,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",406,599,563,563,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","printf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",406,599,362,362,"OpenTransforms() -> cmsBool","","cmsBool","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"OpenTransforms","PrintProfileInformation","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",406,599,204,204,"OpenTransforms() -> cmsBool","","cmsBool","int","PrintProfileInformation(cmsHPROFILE) -> void","cmsHPROFILE hInput","void","void"
"OpenTransforms","OpenStockProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",406,599,69,69,"OpenTransforms() -> cmsBool","","cmsBool","int","OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *"
"OpenTransforms","FatalError","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",406,599,34,34,"OpenTransforms() -> cmsBool","","cmsBool","int","FatalError(const char *) -> void","const char * frm","void","void"
"OpenTransforms","ComponentNames","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",406,599,297,297,"OpenTransforms() -> cmsBool","","cmsBool","int","ComponentNames(cmsColorSpaceSignature, cmsBool) -> cmsNAMEDCOLORLIST *","cmsColorSpaceSignature space, cmsBool IsInput","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","SetRange","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",406,599,285,285,"OpenTransforms() -> cmsBool","","cmsBool","int","SetRange(cmsFloat64Number, cmsBool) -> void","cmsFloat64Number range, cmsBool IsInput","void","void"
