"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TakeCGATSValues","cmsIT8GetPatchName","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmscgats.c",862,978,2696,2696,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsIT8GetPatchName(cmsHANDLE, int, char *) -> const char *","cmsHANDLE hIT8, int nPatch, char * buffer","const char *","char *"
"TakeCGATSValues","cmsIT8GetDataDbl","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmscgats.c",862,978,2628,2628,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsIT8GetDataDbl(cmsHANDLE, const char *, const char *) -> cmsFloat64Number","cmsHANDLE it8, const char * cPatch, const char * cSample","cmsFloat64Number","double"
"TakeCGATSValues","cmsChannelsOf","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspcs.c",862,978,877,877,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsChannelsOf(cmsColorSpaceSignature) -> cmsUInt32Number","cmsColorSpaceSignature ColorSpace","cmsUInt32Number","unsigned int"
"TakeCGATSValues","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",862,978,739,739,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"TakeCGATSValues","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",862,978,739,739,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"TakeCGATSValues","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",862,978,739,739,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"TakeCGATSValues","cmsGetNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",862,978,739,739,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"TakeCGATSValues","cmsNamedColorIndex","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",862,978,654,654,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","cmsNamedColorIndex(const cmsNAMEDCOLORLIST *, const char *) -> cmsInt32Number","const cmsNAMEDCOLORLIST * NamedColorList, const char * Name","cmsInt32Number","int"
"TakeCGATSValues","sprintf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",862,978,364,364,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","sprintf(char *__restrict__, const char *__restrict__) -> int","char *__restrict__ __s, const char *__restrict__ __format","int","int"
"TakeCGATSValues","FatalError","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",862,978,34,34,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","FatalError(const char *) -> void","const char * frm","void","void"
"TakeCGATSValues","GetIT8Val","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",862,978,846,846,"TakeCGATSValues(int, cmsFloat64Number[]) -> void","int nPatch, cmsFloat64Number[] Float","void","void","GetIT8Val(const char *, cmsFloat64Number) -> cmsFloat64Number","const char * Name, cmsFloat64Number Max","cmsFloat64Number","double"
