"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,6,6,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,386,386,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"bpf_image","snprintf","/src/libpcap/bpf_image.c","/usr/include/stdio.h",39,332,386,386,"bpf_image(const bpf_insn *, int) -> char *","const bpf_insn * p, int n","char *","char *","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
