"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"gen_linktype","pcap_datalink_val_to_description","/src/libpcap/gencode.c","/src/libpcap/pcap.c",3139,3638,3133,3133,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","pcap_datalink_val_to_description(int) -> const char *","int dlt","const char *","char *"
"gen_linktype","gen_and","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,1004,1004,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_and(block *, block *) -> void","block * b0, block * b1","void","void"
"gen_linktype","gen_or","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,1015,1015,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_or(block *, block *) -> void","block * b0, block * b1","void","void"
"gen_linktype","bpf_error","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,465,465,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","bpf_error(compiler_state_t *, const char *) -> void","compiler_state_t * cstate, const char * fmt","void","void"
"gen_linktype","gen_atmfield_code_internal","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,9491,9491,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_atmfield_code_internal(compiler_state_t *, int, bpf_u_int32, int, int) -> block *","compiler_state_t * cstate, int atmfield, bpf_u_int32 jvalue, int jtype, int reverse","block *","block *"
"gen_linktype","gen_true","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,1936,1936,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_true(compiler_state_t *) -> block *","compiler_state_t * cstate","block *","block *"
"gen_linktype","gen_mcmp","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,1066,1066,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_mcmp(compiler_state_t *, e_offrel, u_int, u_int, bpf_u_int32, bpf_u_int32) -> block *","compiler_state_t * cstate, e_offrel offrel, u_int offset, u_int size, bpf_u_int32 v, bpf_u_int32 mask","block *","block *"
"gen_linktype","gen_cmp","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,1031,1031,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_cmp(compiler_state_t *, e_offrel, u_int, u_int, bpf_u_int32) -> block *","compiler_state_t * cstate, e_offrel offrel, u_int offset, u_int size, bpf_u_int32 v","block *","block *"
"gen_linktype","gen_prevlinkhdr_check","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,3092,3092,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_prevlinkhdr_check(compiler_state_t *) -> block *","compiler_state_t * cstate","block *","block *"
"gen_linktype","gen_check_802_11_data_frame","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,6338,6338,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_check_802_11_data_frame(compiler_state_t *) -> block *","compiler_state_t * cstate","block *","block *"
"gen_linktype","gen_mpls_linktype","/src/libpcap/gencode.c","/src/libpcap/gencode.c",3139,3638,4876,4876,"gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *","gen_mpls_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *"
