"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"gen_multicast","gen_and","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1004,1004,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_and(block *, block *) -> void","block * b0, block * b1","void","void"
"gen_multicast","gen_or","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1015,1015,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_or(block *, block *) -> void","block * b0, block * b1","void","void"
"gen_multicast","gen_not","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1025,1025,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_not(block *) -> void","block * b","void","void"
"gen_multicast","_setjmp","/src/libpcap/gencode.c","/usr/include/setjmp.h",7996,8176,63,63,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","_setjmp(__jmp_buf_tag[1]) -> int","__jmp_buf_tag[1] __env","int","int"
"gen_multicast","bpf_error","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,465,465,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","bpf_error(compiler_state_t *, const char *) -> void","compiler_state_t * cstate, const char * fmt","void","void"
"gen_multicast","new_block","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,683,683,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","new_block(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int code","block *","block *"
"gen_multicast","gen_linktype","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,3138,3138,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_linktype(compiler_state_t *, bpf_u_int32) -> block *","compiler_state_t * cstate, bpf_u_int32 ll_proto","block *","block *"
"gen_multicast","gen_ahostop","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,8669,8669,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_ahostop(compiler_state_t *, const u_char *, int) -> block *","compiler_state_t * cstate, const u_char * eaddr, int dir","block *","block *"
"gen_multicast","gen_cmp","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1031,1031,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_cmp(compiler_state_t *, e_offrel, u_int, u_int, bpf_u_int32) -> block *","compiler_state_t * cstate, e_offrel offrel, u_int offset, u_int size, bpf_u_int32 v","block *","block *"
"gen_multicast","gen_prevlinkhdr_check","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,3092,3092,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_prevlinkhdr_check(compiler_state_t *) -> block *","compiler_state_t * cstate","block *","block *"
"gen_multicast","gen_mac_multicast","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,7981,7981,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_mac_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int offset","block *","block *"
"gen_multicast","gen_load_a","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1776,1776,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_load_a(compiler_state_t *, e_offrel, u_int, u_int) -> slist *","compiler_state_t * cstate, e_offrel offrel, u_int offset, u_int size","slist *","slist *"
"gen_multicast","gen_cmp_ge","/src/libpcap/gencode.c","/src/libpcap/gencode.c",7996,8176,1045,1045,"gen_multicast(compiler_state_t *, int) -> block *","compiler_state_t * cstate, int proto","block *","block *","gen_cmp_ge(compiler_state_t *, e_offrel, u_int, u_int, bpf_u_int32) -> block *","compiler_state_t * cstate, e_offrel offrel, u_int offset, u_int size, bpf_u_int32 v","block *","block *"
