"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_lookupnet","socket","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/sys/socket.h",1408,1500,113,113,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","socket(int, int, int) -> int","int __domain, int __type, int __protocol","int","int"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,6,6,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_lookupnet","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",1408,1500,386,386,"pcap_lookupnet(const char *, bpf_u_int32 *, bpf_u_int32 *, char *) -> int","const char * device, bpf_u_int32 * netp, bpf_u_int32 * maskp, char * errbuf","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
