"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_can_set_rfmon_linux","socket","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",1083,1167,113,113,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","socket(int, int, int) -> int","int __domain, int __type, int __protocol","int","int"
"pcap_can_set_rfmon_linux","pcap_strlcpy","/src/libpcap/pcap-linux.c","/src/libpcap/missing/strlcpy.c",1083,1167,34,34,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","pcap_strlcpy(char *__restrict__, const char *__restrict__, size_t) -> size_t","char *__restrict__ dst, const char *__restrict__ src, size_t dsize","size_t","unsigned long"
"pcap_can_set_rfmon_linux","__builtin_constant_p","/src/libpcap/pcap-linux.c","",1083,1167,0,0,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","__builtin_constant_p() -> int","","int","int"
"pcap_can_set_rfmon_linux","pcap_fmt_errmsg_for_errno","/src/libpcap/pcap-linux.c","/src/libpcap/fmtutils.c",1083,1167,61,61,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","pcap_fmt_errmsg_for_errno(char *, size_t, int, const char *) -> void","char * errbuf, size_t errbuflen, int errnum, const char * fmt","void","void"
"pcap_can_set_rfmon_linux","close","/src/libpcap/pcap-linux.c","/usr/include/unistd.h",1083,1167,356,356,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","close(int) -> int","int __fd","int","int"
"pcap_can_set_rfmon_linux","__errno_location","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/bits/errno.h",1083,1167,50,50,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","__errno_location() -> int *","","int *","int *"
"pcap_can_set_rfmon_linux","__builtin_strlen","/src/libpcap/pcap-linux.c","",1083,1167,0,0,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","__builtin_strlen(const char *) -> unsigned long","const char * (unnamed parameter 0)","unsigned long","unsigned long"
"pcap_can_set_rfmon_linux","__builtin_strcmp","/src/libpcap/pcap-linux.c","",1083,1167,0,0,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","__builtin_strcmp(const char *, const char *) -> int","const char * (unnamed parameter 0), const char * (unnamed parameter 1)","int","int"
"pcap_can_set_rfmon_linux","ioctl","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/sys/ioctl.h",1083,1167,41,41,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","ioctl(int, unsigned long) -> int","int __fd, unsigned long __request","int","int"
"pcap_can_set_rfmon_linux","is_bonding_device","/src/libpcap/pcap-linux.c","/src/libpcap/pcap-linux.c",1083,1167,1052,1052,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","is_bonding_device(int, const char *) -> int","int fd, const char * device","int","int"
"pcap_can_set_rfmon_linux","pcap_protocol","/src/libpcap/pcap-linux.c","/src/libpcap/pcap-linux.c",1083,1167,1070,1070,"pcap_can_set_rfmon_linux(pcap_t *) -> int","pcap_t * handle","int","int","pcap_protocol(pcap_t *) -> int","pcap_t * handle","int","int"
