"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_cleanup_linux","fprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1244,1399,356,356,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"pcap_cleanup_linux","pcap_strlcpy","/src/libpcap/pcap-linux.c","/src/libpcap/missing/strlcpy.c",1244,1399,34,34,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","pcap_strlcpy(char *__restrict__, const char *__restrict__, size_t) -> size_t","char *__restrict__ dst, const char *__restrict__ src, size_t dsize","size_t","unsigned long"
"pcap_cleanup_linux","pcap_cleanup_live_common","/src/libpcap/pcap-linux.c","/src/libpcap/pcap.c",1244,1399,3719,3719,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","pcap_cleanup_live_common(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_cleanup_linux","pcap_remove_from_pcaps_to_close","/src/libpcap/pcap-linux.c","/src/libpcap/pcap.c",1244,1399,3685,3685,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","pcap_remove_from_pcaps_to_close(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_cleanup_linux","free","/src/libpcap/pcap-linux.c","/usr/include/stdlib.h",1244,1399,483,483,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","free(void *) -> void","void * __ptr","void","void"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char *","int __errnum","char","char"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char *","int __errnum","char","char *"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char *","int __errnum","char *","char"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char *","int __errnum","char *","char *"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char","int __errnum","char","char"
"pcap_cleanup_linux","strerror","/src/libpcap/pcap-linux.c","/usr/include/string.h",1244,1399,6,6,"pcap_cleanup_linux(pcap_t *) -> void","pcap_t * handle","void","void","strerror(int) -> char","int __errnum","char","char *"
