"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_read_packet","__cmsg_nxthdr","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/bits/socket.h",1891,2276,283,283,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","__cmsg_nxthdr(msghdr *, cmsghdr *) -> cmsghdr *","msghdr * __mhdr, cmsghdr * __cmsg","cmsghdr *","cmsghdr *"
"pcap_read_packet","recvmsg","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",1891,2276,202,202,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","recvmsg(int, msghdr *, int) -> ssize_t","int __fd, msghdr * __message, int __flags","ssize_t","long"
"pcap_read_packet","recvmsg","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",1891,2276,202,202,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","recvmsg(int, msghdr *, int) -> ssize_t","int __fd, msghdr * __message, int __flags","ssize_t","long"
"pcap_read_packet","recvmsg","/src/libpcap/pcap-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",1891,2276,202,202,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","recvmsg(int, msghdr *, int) -> ssize_t","int __fd, msghdr * __message, int __flags","ssize_t","long"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/include/stdio.h",1891,2276,386,386,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/share/cmake-3.5/Modules/CheckFunctionExists.c",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/share/cmake-3.5/Modules/CheckFunctionExists.c",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/share/cmake-3.5/Modules/CheckFunctionExists.c",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_read_packet","snprintf","/src/libpcap/pcap-linux.c","/usr/share/cmake-3.5/Modules/CheckFunctionExists.c",1891,2276,6,6,"pcap_read_packet(pcap_t *, pcap_handler, u_char *) -> int","pcap_t * handle, pcap_handler callback, u_char * userdata","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
