"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"netfilter_send_config_msg","recvfrom","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,174,174,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","recvfrom(int, void *__restrict__, size_t, int, __SOCKADDR_ARG, sockaddr *__restrict__, socklen_t *__restrict__) -> ssize_t","int __fd, void *__restrict__ __buf, size_t __n, int __flags, __SOCKADDR_ARG __addr, socklen_t *__restrict__ __addr_len","ssize_t","long"
"netfilter_send_config_msg","recvfrom","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,174,174,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","recvfrom(int, void *__restrict__, size_t, int, __SOCKADDR_ARG, sockaddr *__restrict__, socklen_t *__restrict__) -> ssize_t","int __fd, void *__restrict__ __buf, size_t __n, int __flags, __SOCKADDR_ARG __addr, socklen_t *__restrict__ __addr_len","ssize_t","long"
"netfilter_send_config_msg","recvfrom","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,174,174,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","recvfrom(int, void *__restrict__, size_t, int, __SOCKADDR_ARG, sockaddr *__restrict__, socklen_t *__restrict__) -> ssize_t","int __fd, void *__restrict__ __buf, size_t __n, int __flags, __SOCKADDR_ARG __addr, socklen_t *__restrict__ __addr_len","ssize_t","long"
"netfilter_send_config_msg","sendto","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,163,163,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","sendto(int, const void *, size_t, int, __CONST_SOCKADDR_ARG, const sockaddr *, socklen_t) -> ssize_t","int __fd, const void * __buf, size_t __n, int __flags, __CONST_SOCKADDR_ARG __addr, socklen_t __addr_len","ssize_t","long"
"netfilter_send_config_msg","sendto","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,163,163,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","sendto(int, const void *, size_t, int, __CONST_SOCKADDR_ARG, const sockaddr *, socklen_t) -> ssize_t","int __fd, const void * __buf, size_t __n, int __flags, __CONST_SOCKADDR_ARG __addr, socklen_t __addr_len","ssize_t","long"
"netfilter_send_config_msg","sendto","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/sys/socket.h",317,398,163,163,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","sendto(int, const void *, size_t, int, __CONST_SOCKADDR_ARG, const sockaddr *, socklen_t) -> ssize_t","int __fd, const void * __buf, size_t __n, int __flags, __CONST_SOCKADDR_ARG __addr, socklen_t __addr_len","ssize_t","long"
"netfilter_send_config_msg","__builtin_constant_p","/src/libpcap/pcap-netfilter-linux.c","",317,398,0,0,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","__builtin_constant_p() -> int","","int","int"
"netfilter_send_config_msg","memset","/src/libpcap/pcap-netfilter-linux.c","/usr/include/string.h",317,398,62,62,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"netfilter_send_config_msg","memcpy","/src/libpcap/pcap-netfilter-linux.c","/usr/include/string.h",317,398,42,42,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"netfilter_send_config_msg","time","/src/libpcap/pcap-netfilter-linux.c","/usr/include/time.h",317,398,192,192,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","time(time_t *) -> time_t","time_t * __timer","time_t","long"
"netfilter_send_config_msg","__errno_location","/src/libpcap/pcap-netfilter-linux.c","/usr/include/x86_64-linux-gnu/bits/errno.h",317,398,50,50,"netfilter_send_config_msg(const pcap_t *, uint16_t, int, u_int8_t, u_int16_t, const my_nfattr *) -> int","const pcap_t * handle, uint16_t msg_type, int ack, u_int8_t family, u_int16_t res_id, const my_nfattr * mynfa","int","int","__errno_location() -> int *","","int *","int *"
