"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_create","__builtin_constant_p","/src/libpcap/pcap.c","",2088,2180,0,0,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__builtin_constant_p() -> int","","int","int"
"pcap_create","__builtin_constant_p","/src/libpcap/pcap.c","",2088,2180,0,0,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__builtin_constant_p() -> int","","int","int"
"pcap_create","__builtin_constant_p","/src/libpcap/pcap.c","",2088,2180,0,0,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__builtin_constant_p() -> int","","int","int"
"pcap_create","__builtin_constant_p","/src/libpcap/pcap.c","",2088,2180,0,0,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__builtin_constant_p() -> int","","int","int"
"pcap_create","pcap_fmt_errmsg_for_errno","/src/libpcap/pcap.c","/src/libpcap/fmtutils.c",2088,2180,61,61,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_fmt_errmsg_for_errno(char *, size_t, int, const char *) -> void","char * errbuf, size_t errbuflen, int errnum, const char * fmt","void","void"
"pcap_create","pcap_fmt_errmsg_for_errno","/src/libpcap/pcap.c","/src/libpcap/fmtutils.c",2088,2180,61,61,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_fmt_errmsg_for_errno(char *, size_t, int, const char *) -> void","char * errbuf, size_t errbuflen, int errnum, const char * fmt","void","void"
"pcap_create","pcap_fmt_errmsg_for_errno","/src/libpcap/pcap.c","/src/libpcap/fmtutils.c",2088,2180,61,61,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_fmt_errmsg_for_errno(char *, size_t, int, const char *) -> void","char * errbuf, size_t errbuflen, int errnum, const char * fmt","void","void"
"pcap_create","pcap_fmt_errmsg_for_errno","/src/libpcap/pcap.c","/src/libpcap/fmtutils.c",2088,2180,61,61,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_fmt_errmsg_for_errno(char *, size_t, int, const char *) -> void","char * errbuf, size_t errbuflen, int errnum, const char * fmt","void","void"
"pcap_create","pcap_create_interface","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",2088,2180,511,511,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_create_interface(const char *, char *) -> pcap_t *","const char * device, char * ebuf","pcap_t *","pcap *"
"pcap_create","pcap_create_interface","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",2088,2180,511,511,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_create_interface(const char *, char *) -> pcap_t *","const char * device, char * ebuf","pcap_t *","pcap *"
"pcap_create","pcap_create_interface","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",2088,2180,511,511,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_create_interface(const char *, char *) -> pcap_t *","const char * device, char * ebuf","pcap_t *","pcap *"
"pcap_create","pcap_create_interface","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",2088,2180,511,511,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","pcap_create_interface(const char *, char *) -> pcap_t *","const char * device, char * ebuf","pcap_t *","pcap *"
"pcap_create","free","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,483,483,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","free(void *) -> void","void * __ptr","void","void"
"pcap_create","free","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,483,483,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","free(void *) -> void","void * __ptr","void","void"
"pcap_create","free","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,483,483,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","free(void *) -> void","void * __ptr","void","void"
"pcap_create","free","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,483,483,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","free(void *) -> void","void * __ptr","void","void"
"pcap_create","calloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,468,468,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"pcap_create","calloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,468,468,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"pcap_create","calloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,468,468,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"pcap_create","calloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,468,468,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"pcap_create","malloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,466,466,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","malloc(size_t) -> void *","size_t __size","void *","void *"
"pcap_create","malloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,466,466,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","malloc(size_t) -> void *","size_t __size","void *","void *"
"pcap_create","malloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,466,466,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","malloc(size_t) -> void *","size_t __size","void *","void *"
"pcap_create","malloc","/src/libpcap/pcap.c","/usr/include/stdlib.h",2088,2180,466,466,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","malloc(size_t) -> void *","size_t __size","void *","void *"
"pcap_create","__strdup","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/string2.h",2088,2180,1278,1278,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__strdup(const char *) -> char *","const char * __string","char *","char *"
"pcap_create","__strdup","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/string2.h",2088,2180,1278,1278,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__strdup(const char *) -> char *","const char * __string","char *","char *"
"pcap_create","__strdup","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/string2.h",2088,2180,1278,1278,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__strdup(const char *) -> char *","const char * __string","char *","char *"
"pcap_create","__strdup","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/string2.h",2088,2180,1278,1278,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__strdup(const char *) -> char *","const char * __string","char *","char *"
"pcap_create","strlen","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,394,394,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"pcap_create","strlen","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,394,394,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"pcap_create","strlen","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,394,394,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"pcap_create","strlen","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,394,394,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"pcap_create","memcpy","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,42,42,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"pcap_create","memcpy","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,42,42,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"pcap_create","memcpy","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,42,42,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"pcap_create","memcpy","/src/libpcap/pcap.c","/usr/include/string.h",2088,2180,42,42,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"pcap_create","__errno_location","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/errno.h",2088,2180,50,50,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__errno_location() -> int *","","int *","int *"
"pcap_create","__errno_location","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/errno.h",2088,2180,50,50,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__errno_location() -> int *","","int *","int *"
"pcap_create","__errno_location","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/errno.h",2088,2180,50,50,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__errno_location() -> int *","","int *","int *"
"pcap_create","__errno_location","/src/libpcap/pcap.c","/usr/include/x86_64-linux-gnu/bits/errno.h",2088,2180,50,50,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","__errno_location() -> int *","","int *","int *"
"pcap_create","netfilter_create","/src/libpcap/pcap.c","/src/libpcap/pcap-netfilter-linux.c",2088,2180,693,693,"pcap_create(const char *, char *) -> pcap_t *","const char * device, char * errbuf","pcap_t *","pcap *","netfilter_create(const char *, char *, int *) -> pcap_t *","const char * device, char * ebuf, int * is_ours","pcap_t *","pcap *"
