"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_next_ex","pcap_oneshot","/src/libpcap/pcap.c","/src/libpcap/pcap.c",452,497,427,427,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_oneshot(u_char *, const pcap_pkthdr *, const u_char *) -> void","u_char * user, const pcap_pkthdr * h, const u_char * pkt","void","void"
"pcap_next_ex","pcap_offline_read","/src/libpcap/pcap.c","/src/libpcap/savefile.c",452,497,470,470,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_offline_read(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * p, int cnt, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","pcap_read_linux_mmap_v3","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",452,497,5619,5619,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_read_linux_mmap_v3(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","pcap_read_linux_mmap_v2","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",452,497,5533,5533,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_read_linux_mmap_v2(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","pcap_read_linux_mmap_v1_64","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",452,497,5448,5448,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_read_linux_mmap_v1_64(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","pcap_read_linux_mmap_v1","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",452,497,5364,5364,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_read_linux_mmap_v1(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","pcap_read_linux","/src/libpcap/pcap.c","/src/libpcap/pcap-linux.c",452,497,1816,1816,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","pcap_read_linux(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","netfilter_read_linux","/src/libpcap/pcap.c","/src/libpcap/pcap-netfilter-linux.c",452,497,89,89,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","netfilter_read_linux(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","usb_read_linux_mmap","/src/libpcap/pcap.c","/src/libpcap/pcap-usb-linux.c",452,497,1105,1105,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","usb_read_linux_mmap(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","usb_read_linux_bin","/src/libpcap/pcap.c","/src/libpcap/pcap-usb-linux.c",452,497,1046,1046,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","usb_read_linux_bin(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
"pcap_next_ex","usb_read_linux","/src/libpcap/pcap.c","/src/libpcap/pcap-usb-linux.c",452,497,729,729,"pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int","usb_read_linux(pcap_t *, int, pcap_handler, u_char *) -> int","pcap_t * handle, int max_packets, pcap_handler callback, u_char * user","int","int"
