"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_open_live","pcap_statustostr","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3380,3380,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_statustostr(int) -> const char *","int errnum","const char *","char *"
"pcap_open_live","pcap_statustostr","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3380,3380,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_statustostr(int) -> const char *","int errnum","const char *","char *"
"pcap_open_live","pcap_statustostr","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3380,3380,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_statustostr(int) -> const char *","int errnum","const char *","char *"
"pcap_open_live","pcap_statustostr","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3380,3380,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_statustostr(int) -> const char *","int errnum","const char *","char *"
"pcap_open_live","pcap_close","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3797,3797,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_open_live","pcap_close","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3797,3797,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_open_live","pcap_close","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3797,3797,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_open_live","pcap_close","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,3797,3797,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
"pcap_open_live","pcap_activate","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2528,2528,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_activate(pcap_t *) -> int","pcap_t * p","int","int"
"pcap_open_live","pcap_activate","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2528,2528,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_activate(pcap_t *) -> int","pcap_t * p","int","int"
"pcap_open_live","pcap_activate","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2528,2528,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_activate(pcap_t *) -> int","pcap_t * p","int","int"
"pcap_open_live","pcap_activate","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2528,2528,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_activate(pcap_t *) -> int","pcap_t * p","int","int"
"pcap_open_live","pcap_set_timeout","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2395,2395,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_set_timeout(pcap_t *, int) -> int","pcap_t * p, int timeout_ms","int","int"
"pcap_open_live","pcap_set_timeout","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2395,2395,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_set_timeout(pcap_t *, int) -> int","pcap_t * p, int timeout_ms","int","int"
"pcap_open_live","pcap_set_timeout","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2583,2675,2395,2395,"pcap_open_live(const char *, int, int, int, char *) -> pcap_t *","const char * device, int snaplen, int promisc, int to_ms, char * errbuf","pcap_t *","pcap *","pcap_set_timeout(pcap_t *, int) -> int","pcap_t * p, int timeout_ms","int","int"
