"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_set_datalink","pcap_datalink_val_to_name","/src/libpcap/pcap.c","/src/libpcap/pcap.c",2804,2865,3121,3121,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","pcap_datalink_val_to_name(int) -> const char *","int dlt","const char *","char *"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,6,6,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_set_datalink","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",2804,2865,386,386,"pcap_set_datalink(pcap_t *, int) -> int","pcap_t * p, int dlt","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
