"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,6,6,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,386,386,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_setnonblock_dead","snprintf","/src/libpcap/pcap.c","/usr/include/stdio.h",3882,3886,386,386,"pcap_setnonblock_dead(pcap_t *, int) -> int","pcap_t * p, int nonblock","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
