"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
"pcap_fopen_offline","pcap_fopen_offline_with_tstamp_precision","/src/libpcap/savefile.c","/src/libpcap/savefile.c",459,462,346,346,"pcap_fopen_offline(FILE *, char *) -> pcap_t *","FILE * fp, char * errbuf","pcap_t *","pcap *","pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *"
