"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_fopen_offline_with_tstamp_precision","fileno","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,858,858,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fileno(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","fileno","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,858,858,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fileno(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","fileno","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,858,858,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fileno(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","fileno","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,858,858,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fileno(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","ferror","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,830,830,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","ferror(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","ferror","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,830,830,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","ferror(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","ferror","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,830,830,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","ferror(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","ferror","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,830,830,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","ferror(FILE *) -> int","FILE * __stream","int","int"
"pcap_fopen_offline_with_tstamp_precision","fread","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,709,709,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fread(void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __stream","size_t","unsigned long"
"pcap_fopen_offline_with_tstamp_precision","fread","/src/libpcap/savefile.c","/usr/include/stdio.h",348,452,709,709,"pcap_fopen_offline_with_tstamp_precision(FILE *, u_int, char *) -> pcap_t *","FILE * fp, u_int precision, char * errbuf","pcap_t *","pcap *","fread(void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __stream","size_t","unsigned long"
