"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,6,6,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,386,386,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,386,386,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,386,386,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"grow_buffer","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",429,440,386,386,"grow_buffer(pcap_t *, u_int) -> int","pcap_t * p, u_int bufsize","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
