"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"pcap_next_packet","ferror","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,830,830,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","ferror(FILE *) -> int","FILE * __stream","int","int"
"pcap_next_packet","fread","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,709,709,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","fread(void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __stream","size_t","unsigned long"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","char"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","char","int"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","char"
"pcap_next_packet","snprintf","/src/libpcap/sf-pcap.c","/usr/include/stdio.h",449,720,6,6,"pcap_next_packet(pcap_t *, pcap_pkthdr *, u_char **) -> int","pcap_t * p, pcap_pkthdr * hdr, u_char ** data","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> char","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
