"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LLVMFuzzerTestOneInput","pcap_offline_filter","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/pcap.c",39,101,3812,3812,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_offline_filter(const bpf_program *, const pcap_pkthdr *, const u_char *) -> int","const bpf_program * fp, const pcap_pkthdr * h, const u_char * pkt","int","int"
"LLVMFuzzerTestOneInput","pcap_freecode","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/gencode.c",39,101,897,897,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_freecode(bpf_program *) -> void","bpf_program * program","void","void"
"LLVMFuzzerTestOneInput","pcap_compile","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/gencode.c",39,101,721,721,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_compile(pcap_t *, bpf_program *, const char *, int, bpf_u_int32) -> int","pcap_t * p, bpf_program * program, const char * buf, int optimize, bpf_u_int32 mask","int","int"
"LLVMFuzzerTestOneInput","pcap_next_ex","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/pcap.c",39,101,450,450,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_next_ex(pcap_t *, pcap_pkthdr **, const u_char **) -> int","pcap_t * p, pcap_pkthdr ** pkt_header, const u_char ** pkt_data","int","int"
"LLVMFuzzerTestOneInput","pcap_close","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/pcap.c",39,101,3797,3797,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
"LLVMFuzzerTestOneInput","pcap_open_offline","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/savefile.c",39,101,294,294,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_open_offline(const char *, char *) -> pcap_t *","const char * fname, char * errbuf","pcap_t *","pcap *"
"LLVMFuzzerTestOneInput","pcap_open_offline","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/savefile.c",39,101,294,294,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_open_offline(const char *, char *) -> pcap_t *","const char * fname, char * errbuf","pcap_t *","pcap *"
"LLVMFuzzerTestOneInput","pcap_open_offline","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/savefile.c",39,101,294,294,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_open_offline(const char *, char *) -> pcap_t *","const char * fname, char * errbuf","pcap_t *","pcap *"
"LLVMFuzzerTestOneInput","pcap_open_offline","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/savefile.c",39,101,294,294,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_open_offline(const char *, char *) -> pcap_t *","const char * fname, char * errbuf","pcap_t *","pcap *"
"LLVMFuzzerTestOneInput","fprintf","/src/libpcap/testprogs/fuzz/fuzz_both.c","/usr/include/stdio.h",39,101,356,356,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"LLVMFuzzerTestOneInput","fopen","/src/libpcap/testprogs/fuzz/fuzz_both.c","/usr/include/stdio.h",39,101,272,272,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"LLVMFuzzerTestOneInput","free","/src/libpcap/testprogs/fuzz/fuzz_both.c","/usr/include/stdlib.h",39,101,483,483,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","free(void *) -> void","void * __ptr","void","void"
"LLVMFuzzerTestOneInput","malloc","/src/libpcap/testprogs/fuzz/fuzz_both.c","/usr/include/stdlib.h",39,101,466,466,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"LLVMFuzzerTestOneInput","memcpy","/src/libpcap/testprogs/fuzz/fuzz_both.c","/usr/include/string.h",39,101,42,42,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"LLVMFuzzerTestOneInput","bufferToFile","/src/libpcap/testprogs/fuzz/fuzz_both.c","/src/libpcap/testprogs/fuzz/fuzz_both.c",39,101,11,11,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","bufferToFile(const char *, const uint8_t *, size_t) -> int","const char * name, const uint8_t * Data, size_t Size","int","int"
"LLVMFuzzerTestOneInput","pcap_freecode","/src/libpcap/testprogs/fuzz/fuzz_filter.c","/src/libpcap/gencode.c",11,43,897,897,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_freecode(bpf_program *) -> void","bpf_program * program","void","void"
"LLVMFuzzerTestOneInput","pcap_compile","/src/libpcap/testprogs/fuzz/fuzz_filter.c","/src/libpcap/gencode.c",11,43,721,721,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_compile(pcap_t *, bpf_program *, const char *, int, bpf_u_int32) -> int","pcap_t * p, bpf_program * program, const char * buf, int optimize, bpf_u_int32 mask","int","int"
"LLVMFuzzerTestOneInput","pcap_setfilter","/src/libpcap/testprogs/fuzz/fuzz_filter.c","/src/libpcap/pcap.c",11,43,3465,3465,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_setfilter(pcap_t *, bpf_program *) -> int","pcap_t * p, bpf_program * fp","int","int"
"LLVMFuzzerTestOneInput","pcap_close","/src/libpcap/testprogs/fuzz/fuzz_filter.c","/src/libpcap/pcap.c",11,43,3797,3797,"LLVMFuzzerTestOneInput(const uint8_t *, size_t) -> int","const uint8_t * Data, size_t Size","int","int","pcap_close(pcap_t *) -> void","pcap_t * p","void","void"
