"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFBuildOverviews","memcpy","/src/libtiff/contrib/addtiffo/tif_overview.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",728,931,31,31,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __len","void *","void *"
"TIFFBuildOverviews","TIFFGetField","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_dir.c",728,931,1581,1581,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFBuildOverviews","TIFFGetFieldDefaulted","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_aux.c",728,931,377,377,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFBuildOverviews","TIFFErrorExt","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_error.c",728,931,63,63,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFErrorExt(thandle_t, const char *, const char *) -> void","thandle_t fd, const char * module, const char * fmt","void","void"
"TIFFBuildOverviews","TIFFClientdata","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",728,931,818,818,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"TIFFBuildOverviews","TIFFClientdata","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",728,931,818,818,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"TIFFBuildOverviews","TIFFFileName","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",728,931,788,788,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"TIFFBuildOverviews","TIFFSetWarningHandler","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_warning.c",728,931,32,32,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFSetWarningHandler(TIFFErrorHandler) -> TIFFErrorHandler","TIFFErrorHandler handler","TIFFErrorHandler","..(*)(..)"
"TIFFBuildOverviews","TIFFSetWarningHandler","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_warning.c",728,931,32,32,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","TIFFSetWarningHandler(TIFFErrorHandler) -> TIFFErrorHandler","TIFFErrorHandler handler","TIFFErrorHandler","..(*)(..)"
"TIFFBuildOverviews","_TIFFmalloc","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_unix.c",728,931,329,329,"TIFFBuildOverviews(TIFF *, int, int *, int, const char *, ..(*)(..), void *) -> void","TIFF * hTIFF, int nOverviews, int * panOvList, int bUseSubIFDs, const char * pszResampleMethod, ..(*)(..) pfnProgress, void * pProgressData","void","void","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
