"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFF_WriteOverview","exit","/src/libtiff/contrib/addtiffo/tif_overview.c","/usr/include/stdlib.h",91,169,617,617,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","exit(int) -> void","int __status","void","void"
"TIFF_WriteOverview","TIFFErrorExt","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_error.c",91,169,63,63,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFErrorExt(thandle_t, const char *, const char *) -> void","thandle_t fd, const char * module, const char * fmt","void","void"
"TIFF_WriteOverview","TIFFClientdata","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",91,169,818,818,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"TIFF_WriteOverview","TIFFClientdata","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",91,169,818,818,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"TIFF_WriteOverview","TIFFFileName","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_open.c",91,169,788,788,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"TIFF_WriteOverview","TIFFCurrentDirOffset","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_dir.c",91,169,2221,2221,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFCurrentDirOffset(TIFF *) -> uint64_t","TIFF * tif","uint64_t","unsigned long"
"TIFF_WriteOverview","TIFFCreateDirectory","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_dir.c",91,169,1687,1687,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFCreateDirectory(TIFF *) -> int","TIFF * tif","int","int"
"TIFF_WriteOverview","TIFFSetField","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_dir.c",91,169,1145,1145,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFF_WriteOverview","TIFFWriteCheck","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_write.c",91,169,600,600,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFF_WriteOverview","TIFFWriteDirectory","/src/libtiff/contrib/addtiffo/tif_overview.c","/src/libtiff/libtiff/tif_dirwrite.c",91,169,235,235,"TIFF_WriteOverview(TIFF *, uint32_t, uint32_t, int, int, int, int, int, int, int, int, int, unsigned short *, unsigned short *, unsigned short *, int, int, int) -> uint32_t","TIFF * hTIFF, uint32_t nXSize, uint32_t nYSize, int nBitsPerPixel, int nPlanarConfig, int nSamples, int nBlockXSize, int nBlockYSize, int bTiled, int nCompressFlag, int nPhotometric, int nSampleFormat, unsigned short * panRed, unsigned short * panGreen, unsigned short * panBlue, int bUseSubIFDs, int nHorSubsampling, int nVerSubsampling","uint32_t","unsigned int","TIFFWriteDirectory(TIFF *) -> int","TIFF * tif","int","int"
