"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFWriteOvrRow","__assert_fail","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/usr/include/assert.h",143,276,69,69,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFWriteOvrRow","fprintf","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",143,276,98,98,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"TIFFWriteOvrRow","TIFFTileSize","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_tile.c",143,276,253,253,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFWriteOvrRow","TIFFTileSize","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_tile.c",143,276,253,253,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFWriteOvrRow","TIFFComputeTile","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_tile.c",143,276,35,35,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFComputeTile(TIFF *, uint32_t, uint32_t, uint32_t, uint16_t) -> uint32_t","TIFF * tif, uint32_t x, uint32_t y, uint32_t z, uint16_t s","uint32_t","unsigned int"
"TIFFWriteOvrRow","TIFFComputeStrip","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_strip.c",143,276,35,35,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFComputeStrip(TIFF *, uint32_t, uint16_t) -> uint32_t","TIFF * tif, uint32_t row, uint16_t sample","uint32_t","unsigned int"
"TIFFWriteOvrRow","TIFFGetOvrBlock","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/contrib/addtiffo/tif_ovrcache.c",143,276,285,285,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFGetOvrBlock(TIFFOvrCache *, int, int, int) -> unsigned char *","TIFFOvrCache * psCache, int iTileX, int iTileY, int iSample","unsigned char *","unsigned char *"
"TIFFWriteOvrRow","TIFFCurrentDirOffset","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_dir.c",143,276,2221,2221,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFCurrentDirOffset(TIFF *) -> uint64_t","TIFF * tif","uint64_t","unsigned long"
"TIFFWriteOvrRow","TIFFSetSubDirectory","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_dir.c",143,276,2151,2151,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFSetSubDirectory(TIFF *, uint64_t) -> int","TIFF * tif, uint64_t diroff","int","int"
"TIFFWriteOvrRow","TIFFIsByteSwapped","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_open.c",143,276,874,874,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFIsByteSwapped(TIFF *) -> int","TIFF * tif","int","int"
"TIFFWriteOvrRow","TIFFSwabArrayOfShort","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_swab.c",143,276,81,81,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFSwabArrayOfShort(uint16_t *, tmsize_t) -> void","uint16_t * wp, tmsize_t n","void","void"
"TIFFWriteOvrRow","TIFFSwabArrayOfLong","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_swab.c",143,276,117,117,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFSwabArrayOfLong(uint32_t *, tmsize_t) -> void","uint32_t * lp, tmsize_t n","void","void"
"TIFFWriteOvrRow","TIFFSwabArrayOfDouble","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_swab.c",143,276,222,222,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFSwabArrayOfDouble(double *, tmsize_t) -> void","double * dp, tmsize_t n","void","void"
"TIFFWriteOvrRow","TIFFWriteEncodedTile","/src/libtiff/contrib/addtiffo/tif_ovrcache.c","/src/libtiff/libtiff/tif_write.c",143,276,414,414,"TIFFWriteOvrRow(TIFFOvrCache *) -> void","TIFFOvrCache * psCache","void","void","TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long"
