"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFCleanup","TIFFFlush","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_flush.c",45,122,30,30,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","TIFFFlush(TIFF *) -> int","TIFF * tif","int","int"
"TIFFCleanup","TIFFErrorExtR","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_error.c",45,122,107,107,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFCleanup","_TIFFfreeExt","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_open.c",45,122,266,266,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFCleanup","_TIFFCleanupIFDOffsetAndNumberMaps","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_close.c",45,122,128,128,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","_TIFFCleanupIFDOffsetAndNumberMaps(TIFF *) -> void","TIFF * tif","void","void"
"TIFFCleanup","TIFFFreeDirectory","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_dir.c",45,122,1618,1618,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","TIFFFreeDirectory(TIFF *) -> void","TIFF * tif","void","void"
"TIFFCleanup","TIFFFieldIsAnonymous","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_dirinfo.c",45,122,878,878,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","TIFFFieldIsAnonymous(const TIFFField *) -> int","const TIFFField * fip","int","int"
"TIFFCleanup","_TIFFvoid","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_compress.c",45,122,140,140,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","_TIFFvoid(TIFF *) -> void","TIFF * tif","void","void"
"TIFFCleanup","Fax3Cleanup","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_fax3.c",45,122,1250,1250,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","Fax3Cleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFCleanup","JPEGCleanup","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_jpeg.c",45,122,2516,2516,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","JPEGCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFCleanup","LogLuvCleanup","/src/libtiff/libtiff/tif_close.c","/src/libtiff/libtiff/tif_luv.c",45,122,1679,1679,"TIFFCleanup(TIFF *) -> void","TIFF * tif","void","void","LogLuvCleanup(TIFF *) -> void","TIFF * tif","void","void"
