"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFUnlinkDirectory","__assert_fail","/src/libtiff/libtiff/tif_dir.c","/usr/include/assert.h",2236,2364,69,69,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFUnlinkDirectory","TIFFErrorExtR","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_error.c",2236,2364,107,107,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFUnlinkDirectory","_TIFFfreeExt","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_open.c",2236,2364,266,266,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFUnlinkDirectory","_TIFFCleanupIFDOffsetAndNumberMaps","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_close.c",2236,2364,128,128,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_TIFFCleanupIFDOffsetAndNumberMaps(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","TIFFFreeDirectory","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_dir.c",2236,2364,1618,1618,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFFreeDirectory(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","TIFFSwabLong8","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_swab.c",2236,2364,60,60,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFUnlinkDirectory","TIFFSwabLong","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_swab.c",2236,2364,45,45,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFUnlinkDirectory","TIFFDefaultDirectory","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_dir.c",2236,2364,1750,1750,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFDefaultDirectory(TIFF *) -> int","TIFF * tif","int","int"
"TIFFUnlinkDirectory","_TIFFvoid","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_compress.c",2236,2364,140,140,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_TIFFvoid(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","TIFFAdvanceDirectory","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_dir.c",2236,2364,1836,1836,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","TIFFAdvanceDirectory(TIFF *, uint64_t *, uint64_t *, tdir_t *) -> int","TIFF * tif, uint64_t * nextdiroff, uint64_t * off, tdir_t * nextdirnum","int","int"
"TIFFUnlinkDirectory","Fax3Cleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_fax3.c",2236,2364,1250,1250,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","Fax3Cleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","JPEGCleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_jpeg.c",2236,2364,2516,2516,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","JPEGCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","LogLuvCleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_luv.c",2236,2364,1679,1679,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","LogLuvCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","LZMACleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_lzma.c",2236,2364,388,388,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","LZMACleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","LZWCleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_lzw.c",2236,2364,1376,1376,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","LZWCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","OJPEGCleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_ojpeg.c",2236,2364,1040,1040,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","OJPEGCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","PixarLogCleanup","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_pixarlog.c",2236,2364,1475,1475,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","PixarLogCleanup(TIFF *) -> void","TIFF * tif","void","void"
"TIFFUnlinkDirectory","_tiffosWriteProc","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_stream.cxx",2236,2364,122,122,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFUnlinkDirectory","_tiffosWriteProc","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_stream.cxx",2236,2364,122,122,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFUnlinkDirectory","_tiffosSeekProc","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_stream.cxx",2236,2364,140,140,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_tiffosSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"TIFFUnlinkDirectory","_tiffisWriteProc","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_stream.cxx",2236,2364,138,138,"TIFFUnlinkDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int","_tiffisWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
