"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFVSetField","_TIFFVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_dir.c",1205,1209,220,220,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","OkToChangeTag","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_dir.c",1205,1209,1112,1112,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OkToChangeTag(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFVSetField","Fax3VSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_fax3.c",1205,1209,1298,1298,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","JPEGVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_jpeg.c",1205,1209,2573,2573,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","LogLuvVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_luv.c",1205,1209,1696,1696,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","LZMAVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_lzma.c",1205,1209,410,410,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","OJPEGVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_ojpeg.c",1205,1209,564,564,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","PixarLogVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_pixarlog.c",1205,1209,1513,1513,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","PredictorVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_predict.c",1205,1209,929,929,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PredictorVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"TIFFVSetField","ZIPVSetField","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_zip.c",1205,1209,587,587,"TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","ZIPVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
