"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_TIFFVSetField","strlen","/src/libtiff/libtiff/tif_dir.c","/usr/include/string.h",221,1101,385,385,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"_TIFFVSetField","strlen","/src/libtiff/libtiff/tif_dir.c","/usr/include/string.h",221,1101,385,385,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"_TIFFVSetField","strcmp","/src/libtiff/libtiff/tif_dir.c","/usr/include/string.h",221,1101,137,137,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"_TIFFVSetField","__assert_fail","/src/libtiff/libtiff/tif_dir.c","/usr/include/assert.h",221,1101,69,69,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"_TIFFVSetField","_TIFFmemset","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_unix.c",221,1101,349,349,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"_TIFFVSetField","_TIFFClampDoubleToFloat","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_aux.c",221,1101,388,388,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFClampDoubleToFloat(double) -> float","double val","float","float"
"_TIFFVSetField","TIFFErrorExtR","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_error.c",221,1101,107,107,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"_TIFFVSetField","_TIFFmemcpy","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_unix.c",221,1101,351,351,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFmemcpy(void *, const void *, tmsize_t) -> void","void * d, const void * s, tmsize_t c","void","void"
"_TIFFVSetField","_TIFFfreeExt","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_open.c",221,1101,266,266,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"_TIFFVSetField","_TIFFCheckMalloc","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_aux.c",221,1101,122,122,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFCheckMalloc(TIFF *, tmsize_t, tmsize_t, const char *) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t elem_size, const char * what","void *","void *"
"_TIFFVSetField","_TIFFreallocExt","/src/libtiff/libtiff/tif_dir.c","/src/libtiff/libtiff/tif_open.c",221,1101,226,226,"_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFreallocExt(TIFF *, void *, tmsize_t) -> void *","TIFF * tif, void * p, tmsize_t s","void *","void *"
