"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadCustomDirectory","__assert_fail","/src/libtiff/libtiff/tif_dirread.c","/usr/include/assert.h",5275,5444,69,69,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFReadCustomDirectory","TIFFErrorExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_error.c",5275,5444,107,107,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadCustomDirectory","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",5275,5444,164,164,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadCustomDirectory","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",5275,5444,266,266,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadCustomDirectory","TIFFFreeDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",5275,5444,1618,1618,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFFreeDirectory(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadCustomDirectory","TIFFFieldIsAnonymous","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",5275,5444,878,878,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFFieldIsAnonymous(const TIFFField *) -> int","const TIFFField * fip","int","int"
"TIFFReadCustomDirectory","TIFFWarningExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_warning.c",5275,5444,80,80,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadCustomDirectory","_TIFFCreateAnonField","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",5275,5444,897,897,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFCreateAnonField(TIFF *, uint32_t, TIFFDataType) -> TIFFField *","TIFF * tif, uint32_t tag, TIFFDataType field_type","TIFFField *","_TIFFField *"
"TIFFReadCustomDirectory","_TIFFMergeFields","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",5275,5444,573,573,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFMergeFields(TIFF *, const TIFFField[], uint32_t) -> int","TIFF * tif, const TIFFField[] info, uint32_t n","int","int"
"TIFFReadCustomDirectory","_TIFFSetupFields","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",5275,5444,513,513,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFSetupFields(TIFF *, const TIFFFieldArray *) -> void","TIFF * tif, const TIFFFieldArray * fieldarray","void","void"
"TIFFReadCustomDirectory","TIFFDefaultDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",5275,5444,1750,1750,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFDefaultDirectory(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadCustomDirectory","_TIFFvoid","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_compress.c",5275,5444,140,140,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","_TIFFvoid(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadCustomDirectory","TIFFFetchSubjectDistance","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",5275,5444,7704,7704,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFFetchSubjectDistance(TIFF *, TIFFDirEntry *) -> int","TIFF * tif, TIFFDirEntry * dir","int","int"
"TIFFReadCustomDirectory","TIFFFetchNormalTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",5275,5444,6261,6261,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFFetchNormalTag(TIFF *, TIFFDirEntry *, int) -> int","TIFF * tif, TIFFDirEntry * dp, int recover","int","int"
"TIFFReadCustomDirectory","TIFFReadDirectoryFindFieldInfo","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",5275,5444,5237,5237,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFReadDirectoryFindFieldInfo(TIFF *, uint16_t, uint32_t *) -> void","TIFF * tif, uint16_t tagid, uint32_t * fii","void","void"
"TIFFReadCustomDirectory","TIFFFetchDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",5275,5444,5966,5966,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","TIFFFetchDirectory(TIFF *, uint64_t, TIFFDirEntry **, uint64_t *) -> uint16_t","TIFF * tif, uint64_t diroff, TIFFDirEntry ** pdir, uint64_t * nextdiroff","uint16_t","unsigned short"
"TIFFReadCustomDirectory","CheckDirCount","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",5275,5444,5935,5935,"TIFFReadCustomDirectory(TIFF *, toff_t, const TIFFFieldArray *) -> int","TIFF * tif, toff_t diroff, const TIFFFieldArray * infoarray","int","int","CheckDirCount(TIFF *, TIFFDirEntry *, uint32_t) -> int","TIFF * tif, TIFFDirEntry * dir, uint32_t count","int","int"
