"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryArrayWithLimit","__assert_fail","/src/libtiff/libtiff/tif_dirread.c","/usr/include/assert.h",1254,1376,69,69,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFReadDirEntryArrayWithLimit","_TIFFmemcpy","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_unix.c",1254,1376,351,351,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmemcpy(void *, const void *, tmsize_t) -> void","void * d, const void * s, tmsize_t c","void","void"
"TIFFReadDirEntryArrayWithLimit","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1254,1376,266,266,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntryArrayWithLimit","_TIFFCheckMalloc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_aux.c",1254,1376,122,122,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFCheckMalloc(TIFF *, tmsize_t, tmsize_t, const char *) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t elem_size, const char * what","void *","void *"
"TIFFReadDirEntryArrayWithLimit","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1254,1376,60,60,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntryArrayWithLimit","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1254,1376,45,45,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntryArrayWithLimit","TIFFDataWidth","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",1254,1376,637,637,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFDataWidth(TIFFDataType) -> int","TIFFDataType type","int","int"
"TIFFReadDirEntryArrayWithLimit","TIFFWarningExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_warning.c",1254,1376,80,80,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadDirEntryArrayWithLimit","TIFFReadDirEntryData","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1254,1376,3889,3889,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryData(TIFF *, uint64_t, tmsize_t, void *) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void * dest","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryArrayWithLimit","TIFFReadDirEntryDataAndRealloc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1254,1376,1188,1188,"TIFFReadDirEntryArrayWithLimit(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
