"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryByteArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1388,1566,164,164,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntryByteArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1388,1566,266,266,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntryByteArray","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1388,1566,60,60,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntryByteArray","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1388,1566,45,45,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntryByteArray","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1388,1566,33,33,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntryByteArray","TIFFReadDirEntryArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1388,1566,1379,1379,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryArray(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryByteArray","TIFFReadDirEntryCheckRangeByteSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1388,1566,3600,3600,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeByteSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryByteArray","TIFFReadDirEntryCheckRangeByteLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1388,1566,3591,3591,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeByteLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryByteArray","TIFFReadDirEntryCheckRangeByteSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1388,1566,3582,3582,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeByteSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryByteArray","TIFFReadDirEntryCheckRangeByteLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1388,1566,3573,3573,"TIFFReadDirEntryByteArray(TIFF *, TIFFDirEntry *, uint8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeByteLong(uint32_t) -> TIFFReadDirEntryErr","uint32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
