"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryDataAndRealloc","__assert_fail","/src/libtiff/libtiff/tif_dirread.c","/usr/include/assert.h",1192,1244,69,69,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFReadDirEntryDataAndRealloc","_TIFFSeekOK","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_aux.c",1192,1244,406,406,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFSeekOK(TIFF *, toff_t) -> int","TIFF * tif, toff_t off","int","int"
"TIFFReadDirEntryDataAndRealloc","TIFFErrorExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_error.c",1192,1244,107,107,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadDirEntryDataAndRealloc","_TIFFreallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1192,1244,226,226,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFreallocExt(TIFF *, void *, tmsize_t) -> void *","TIFF * tif, void * p, tmsize_t s","void *","void *"
"TIFFReadDirEntryDataAndRealloc","_tiffosReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_stream.cxx",1192,1244,106,106,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"TIFFReadDirEntryDataAndRealloc","_tiffosReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_stream.cxx",1192,1244,106,106,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"TIFFReadDirEntryDataAndRealloc","_tiffisReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_stream.cxx",1192,1244,108,108,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadDirEntryDataAndRealloc","_tiffisReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_stream.cxx",1192,1244,108,108,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadDirEntryDataAndRealloc","_tiffReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_unix.c",1192,1244,68,68,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadDirEntryDataAndRealloc","_tiffReadProc","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_unix.c",1192,1244,68,68,"TIFFReadDirEntryDataAndRealloc(TIFF *, uint64_t, tmsize_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, uint64_t offset, tmsize_t size, void ** pdest","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
