"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedDouble","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3519,3519,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedDouble(TIFF *, TIFFDirEntry *, double *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, double * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedFloat","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3501,3501,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedFloat(TIFF *, TIFFDirEntry *, float *) -> void","TIFF * tif, TIFFDirEntry * direntry, float * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedSrational","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3426,3426,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSrational(TIFF *, TIFFDirEntry *, double *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, double * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedRational","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3393,3393,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedRational(TIFF *, TIFFDirEntry *, double *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, double * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3373,3373,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong8(TIFF *, TIFFDirEntry *, int64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3353,3353,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3344,3344,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong(TIFF *, TIFFDirEntry *, int32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int32_t * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3336,3336,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong(TIFF *, TIFFDirEntry *, uint32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedSshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3328,3328,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSshort(TIFF *, TIFFDirEntry *, int16_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int16_t * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3319,3319,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedShort(TIFF *, TIFFDirEntry *, uint16_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedSbyte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3312,3312,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSbyte(TIFF *, TIFFDirEntry *, int8_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int8_t * value","void","void"
"TIFFReadDirEntryFloat","TIFFReadDirEntryCheckedByte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",965,1066,3305,3305,"TIFFReadDirEntryFloat(TIFF *, TIFFDirEntry *, float *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, float * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedByte(TIFF *, TIFFDirEntry *, uint8_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint8_t * value","void","void"
