"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryLong8ArrayWithLimit","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2424,2588,164,164,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntryLong8ArrayWithLimit","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2424,2588,266,266,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFSwabArrayOfLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2424,2588,138,138,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabArrayOfLong8(uint64_t *, tmsize_t) -> void","uint64_t * lp, tmsize_t n","void","void"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2424,2588,60,60,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2424,2588,45,45,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2424,2588,33,33,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFReadDirEntryCheckRangeLong8Slong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2424,2588,3872,3872,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Slong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFReadDirEntryCheckRangeLong8Slong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2424,2588,3863,3863,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Slong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFReadDirEntryCheckRangeLong8Sshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2424,2588,3854,3854,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Sshort(int16_t) -> TIFFReadDirEntryErr","int16_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8ArrayWithLimit","TIFFReadDirEntryCheckRangeLong8Sbyte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2424,2588,3845,3845,"TIFFReadDirEntryLong8ArrayWithLimit(TIFF *, TIFFDirEntry *, uint64_t **, uint64_t) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t ** value, uint64_t maxcount","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Sbyte(int8_t) -> TIFFReadDirEntryErr","int8_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
