"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckRangeLong8Slong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3872,3872,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Slong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckRangeLong8Slong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3863,3863,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Slong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckRangeLong8Sshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3854,3854,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Sshort(int16_t) -> TIFFReadDirEntryErr","int16_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckRangeLong8Sbyte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3845,3845,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLong8Sbyte(int8_t) -> TIFFReadDirEntryErr","int8_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3373,3373,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong8(TIFF *, TIFFDirEntry *, int64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3353,3353,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3344,3344,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong(TIFF *, TIFFDirEntry *, int32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int32_t * value","void","void"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3336,3336,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong(TIFF *, TIFFDirEntry *, uint32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","void","void"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedSshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3328,3328,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSshort(TIFF *, TIFFDirEntry *, int16_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int16_t * value","void","void"
"TIFFReadDirEntryLong8","TIFFReadDirEntryCheckedShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",816,891,3319,3319,"TIFFReadDirEntryLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedShort(TIFF *, TIFFDirEntry *, uint16_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","void","void"
