"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryLongArray","TIFFSwabArrayOfLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2091,2257,117,117,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabArrayOfLong(uint32_t *, tmsize_t) -> void","uint32_t * lp, tmsize_t n","void","void"
"TIFFReadDirEntryLongArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2091,2257,164,164,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntryLongArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2091,2257,266,266,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntryLongArray","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2091,2257,60,60,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntryLongArray","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2091,2257,45,45,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntryLongArray","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2091,2257,33,33,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntryLongArray","TIFFReadDirEntryArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2091,2257,1379,1379,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryArray(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLongArray","TIFFReadDirEntryCheckRangeLongSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2091,2257,3807,3807,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLongArray","TIFFReadDirEntryCheckRangeLongLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2091,2257,3798,3798,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLongArray","TIFFReadDirEntryCheckRangeLongSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2091,2257,3789,3789,"TIFFReadDirEntryLongArray(TIFF *, TIFFDirEntry *, uint32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
