"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckRangeLongSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3807,3807,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckRangeLongLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3798,3798,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckRangeLongSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3789,3789,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckRangeLongSshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3780,3780,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSshort(int16_t) -> TIFFReadDirEntryErr","int16_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckRangeLongSbyte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3771,3771,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeLongSbyte(int8_t) -> TIFFReadDirEntryErr","int8_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckedSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3373,3373,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong8(TIFF *, TIFFDirEntry *, int64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckedLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3353,3353,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckedSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3344,3344,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong(TIFF *, TIFFDirEntry *, int32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int32_t * value","void","void"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckedLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3336,3336,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong(TIFF *, TIFFDirEntry *, uint32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","void","void"
"TIFFReadDirEntryLong","TIFFReadDirEntryCheckedSshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",654,734,3328,3328,"TIFFReadDirEntryLong(TIFF *, TIFFDirEntry *, uint32_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSshort(TIFF *, TIFFDirEntry *, int16_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int16_t * value","void","void"
