"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntrySbyteArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1570,1746,164,164,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntrySbyteArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1570,1746,266,266,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntrySbyteArray","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1570,1746,60,60,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntrySbyteArray","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1570,1746,45,45,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntrySbyteArray","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1570,1746,33,33,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntrySbyteArray","TIFFReadDirEntryArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1570,1746,1379,1379,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryArray(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySbyteArray","TIFFReadDirEntryCheckRangeSbyteSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1570,1746,3663,3663,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSbyteSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySbyteArray","TIFFReadDirEntryCheckRangeSbyteLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1570,1746,3654,3654,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSbyteLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySbyteArray","TIFFReadDirEntryCheckRangeSbyteSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1570,1746,3645,3645,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSbyteSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySbyteArray","TIFFReadDirEntryCheckRangeSbyteLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1570,1746,3636,3636,"TIFFReadDirEntrySbyteArray(TIFF *, TIFFDirEntry *, int8_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int8_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSbyteLong(uint32_t) -> TIFFReadDirEntryErr","uint32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
