"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3717,3717,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3708,3708,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3699,3699,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3690,3690,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortLong(uint32_t) -> TIFFReadDirEntryErr","uint32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortSshort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3681,3681,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortSshort(int16_t) -> TIFFReadDirEntryErr","int16_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckRangeShortSbyte","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3672,3672,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeShortSbyte(int8_t) -> TIFFReadDirEntryErr","int8_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckedSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3373,3373,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong8(TIFF *, TIFFDirEntry *, int64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckedLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3353,3353,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong8(TIFF *, TIFFDirEntry *, uint64_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint64_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckedSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3344,3344,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedSlong(TIFF *, TIFFDirEntry *, int32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, int32_t * value","void","void"
"TIFFReadDirEntryShort","TIFFReadDirEntryCheckedLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",483,566,3336,3336,"TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckedLong(TIFF *, TIFFDirEntry *, uint32_t *) -> void","TIFF * tif, TIFFDirEntry * direntry, uint32_t * value","void","void"
