"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntrySlongArray","TIFFSwabArrayOfLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2261,2419,117,117,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabArrayOfLong(uint32_t *, tmsize_t) -> void","uint32_t * lp, tmsize_t n","void","void"
"TIFFReadDirEntrySlongArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2261,2419,164,164,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntrySlongArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",2261,2419,266,266,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntrySlongArray","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2261,2419,60,60,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntrySlongArray","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2261,2419,45,45,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntrySlongArray","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",2261,2419,33,33,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntrySlongArray","TIFFReadDirEntryArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2261,2419,1379,1379,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryArray(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySlongArray","TIFFReadDirEntryCheckRangeSlongSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2261,2419,3836,3836,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSlongSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySlongArray","TIFFReadDirEntryCheckRangeSlongLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2261,2419,3826,3826,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSlongLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySlongArray","TIFFReadDirEntryCheckRangeSlongLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",2261,2419,3816,3816,"TIFFReadDirEntrySlongArray(TIFF *, TIFFDirEntry *, int32_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int32_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSlongLong(uint32_t) -> TIFFReadDirEntryErr","uint32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
