"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirEntrySshortArray","TIFFSwabArrayOfShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1923,2087,81,81,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabArrayOfShort(uint16_t *, tmsize_t) -> void","uint16_t * wp, tmsize_t n","void","void"
"TIFFReadDirEntrySshortArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1923,2087,164,164,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirEntrySshortArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",1923,2087,266,266,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirEntrySshortArray","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1923,2087,60,60,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"TIFFReadDirEntrySshortArray","TIFFSwabLong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1923,2087,45,45,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"TIFFReadDirEntrySshortArray","TIFFSwabShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_swab.c",1923,2087,33,33,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"TIFFReadDirEntrySshortArray","TIFFReadDirEntryArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1923,2087,1379,1379,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryArray(TIFF *, TIFFDirEntry *, uint32_t *, uint32_t, void **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint32_t * count, uint32_t desttypesize, void ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySshortArray","TIFFReadDirEntryCheckRangeSshortSlong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1923,2087,3762,3762,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSshortSlong8(int64_t) -> TIFFReadDirEntryErr","int64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySshortArray","TIFFReadDirEntryCheckRangeSshortLong8","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1923,2087,3753,3753,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSshortLong8(uint64_t) -> TIFFReadDirEntryErr","uint64_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirEntrySshortArray","TIFFReadDirEntryCheckRangeSshortSlong","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",1923,2087,3744,3744,"TIFFReadDirEntrySshortArray(TIFF *, TIFFDirEntry *, int16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, int16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr","TIFFReadDirEntryCheckRangeSshortSlong(int32_t) -> TIFFReadDirEntryErr","int32_t value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
