"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadDirectory","memcpy","/src/libtiff/libtiff/tif_dirread.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",4234,5199,31,31,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __len","void *","void *"
"TIFFReadDirectory","__assert_fail","/src/libtiff/libtiff/tif_dirread.c","/usr/include/assert.h",4234,5199,69,69,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFReadDirectory","TIFFTileSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_tile.c",4234,5199,253,253,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFTileSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_tile.c",4234,5199,253,253,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFStripSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,203,203,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFStripSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,203,203,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFSetField","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",4234,5199,1145,1145,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFReadDirectory","TIFFErrorExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_error.c",4234,5199,107,107,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadDirectory","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",4234,5199,164,164,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFReadDirectory","_TIFFmemcpy","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_unix.c",4234,5199,351,351,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFmemcpy(void *, const void *, tmsize_t) -> void","void * d, const void * s, tmsize_t c","void","void"
"TIFFReadDirectory","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",4234,5199,266,266,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFReadDirectory","TIFFFreeDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",4234,5199,1618,1618,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFreeDirectory(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadDirectory","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,8354,8354,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFReadDirectory","TIFFNumberOfStrips","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,64,64,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"TIFFReadDirectory","TIFFNumberOfTiles","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_tile.c",4234,5199,108,108,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFNumberOfTiles(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"TIFFReadDirectory","TIFFWarningExtR","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_warning.c",4234,5199,80,80,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadDirectory","TIFFSetupStrips","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_write.c",4234,5199,553,553,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFSetupStrips(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadDirectory","TIFFStripSize64","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,195,195,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFStripSize64(TIFF *) -> uint64_t","TIFF * tif","uint64_t","unsigned long"
"TIFFReadDirectory","TIFFScanlineSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,342,342,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFScanlineSize","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_strip.c",4234,5199,342,342,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,844,844,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"TIFFReadDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,844,844,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"TIFFReadDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,844,844,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"TIFFReadDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,844,844,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"TIFFReadDirectory","_TIFFCheckDirNumberAndOffset","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5653,5653,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFCheckDirNumberAndOffset(TIFF *, tdir_t, uint64_t) -> int","TIFF * tif, tdir_t dirn, uint64_t diroff","int","int"
"TIFFReadDirectory","_TIFFCheckFieldIsValidForCodec","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,1246,1246,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFCheckFieldIsValidForCodec(TIFF *, ttag_t) -> int","TIFF * tif, ttag_t tag","int","int"
"TIFFReadDirectory","_TIFFCreateAnonField","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,897,897,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFCreateAnonField(TIFF *, uint32_t, TIFFDataType) -> TIFFField *","TIFF * tif, uint32_t tag, TIFFDataType field_type","TIFFField *","_TIFFField *"
"TIFFReadDirectory","_TIFFMergeFields","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirinfo.c",4234,5199,573,573,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFMergeFields(TIFF *, const TIFFField[], uint32_t) -> int","TIFF * tif, const TIFFField[] info, uint32_t n","int","int"
"TIFFReadDirectory","_TIFFFillStriles","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,8369,8369,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFFillStriles(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadDirectory","_TIFFcallocExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_open.c",4234,5199,192,192,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFcallocExt(TIFF *, tmsize_t, tmsize_t) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t siz","void *","void *"
"TIFFReadDirectory","_TIFFsetShortArrayExt","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",4234,5199,78,78,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFsetShortArrayExt(TIFF *, uint16_t **, const uint16_t *, uint32_t) -> void","TIFF * tif, uint16_t ** wpp, const uint16_t * wp, uint32_t n","void","void"
"TIFFReadDirectory","TIFFDefaultDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dir.c",4234,5199,1750,1750,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFDefaultDirectory(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadDirectory","_notConfigured","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_codec.c",4234,5199,110,110,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadDirectory","_TIFFNoFixupTags","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_compress.c",4234,5199,90,90,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFNoFixupTags(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadDirectory","_TIFFvoid","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_compress.c",4234,5199,140,140,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","_TIFFvoid(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadDirectory","TIFFFetchStripThing","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,7631,7631,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFetchStripThing(TIFF *, TIFFDirEntry *, uint32_t, uint64_t **) -> int","TIFF * tif, TIFFDirEntry * dir, uint32_t nstrips, uint64_t ** lpp","int","int"
"TIFFReadDirectory","TryChopUpUncompressedBigTiff","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,7925,7925,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TryChopUpUncompressedBigTiff(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadDirectory","ChopUpSingleUncompressedStrip","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,7855,7855,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","ChopUpSingleUncompressedStrip(TIFF *) -> void","TIFF * tif","void","void"
"TIFFReadDirectory","TIFFReadDirEntryOutputErr","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,3916,3916,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirEntryOutputErr(TIFF *, TIFFReadDirEntryErr, const char *, const char *, int) -> void","TIFF * tif, TIFFReadDirEntryErr err, const char * module, const char * tagname, int recover","void","void"
"TIFFReadDirectory","TIFFFetchNormalTag","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,6261,6261,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFetchNormalTag(TIFF *, TIFFDirEntry *, int) -> int","TIFF * tif, TIFFDirEntry * dp, int recover","int","int"
"TIFFReadDirectory","TIFFReadDirectoryFindFieldInfo","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5237,5237,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirectoryFindFieldInfo(TIFF *, uint16_t, uint32_t *) -> void","TIFF * tif, uint16_t tagid, uint32_t * fii","void","void"
"TIFFReadDirectory","EvaluateIFDdatasizeReading","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,4084,4084,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","EvaluateIFDdatasizeReading(TIFF *, TIFFDirEntry *) -> bool","TIFF * tif, TIFFDirEntry * dp","bool","bool"
"TIFFReadDirectory","TIFFReadDirEntryShort","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,482,482,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirEntryShort(TIFF *, TIFFDirEntry *, uint16_t *) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t * value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirectory","TIFFReadDirEntryShortArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,1749,1749,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirEntryShortArray(TIFF *, TIFFDirEntry *, uint16_t **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, uint16_t ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirectory","TIFFReadDirEntryDoubleArray","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,2985,2985,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirEntryDoubleArray(TIFF *, TIFFDirEntry *, double **) -> TIFFReadDirEntryErr","TIFF * tif, TIFFDirEntry * direntry, double ** value","TIFFReadDirEntryErr","TIFFReadDirEntryErr"
"TIFFReadDirectory","TIFFFetchDirectory","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5966,5966,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFFetchDirectory(TIFF *, uint64_t, TIFFDirEntry **, uint64_t *) -> uint16_t","TIFF * tif, uint64_t diroff, TIFFDirEntry ** pdir, uint64_t * nextdiroff","uint16_t","unsigned short"
"TIFFReadDirectory","MissingRequired","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5601,5601,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","MissingRequired(TIFF *, const char *) -> void","TIFF * tif, const char * tagname","void","void"
"TIFFReadDirectory","EstimateStripByteCounts","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5463,5463,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","EstimateStripByteCounts(TIFF *, TIFFDirEntry *, uint16_t) -> int","TIFF * tif, TIFFDirEntry * dir, uint16_t dircount","int","int"
"TIFFReadDirectory","TIFFReadDirectoryCheckOrder","/src/libtiff/libtiff/tif_dirread.c","/src/libtiff/libtiff/tif_dirread.c",4234,5199,5201,5201,"TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int","TIFFReadDirectoryCheckOrder(TIFF *, TIFFDirEntry *, uint16_t) -> void","TIFF * tif, TIFFDirEntry * dir, uint16_t dircount","void","void"
