"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFWriteDirectoryTagSampleformatArray","_TIFFClampDoubleToFloat","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_aux.c",1457,1537,388,388,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","_TIFFClampDoubleToFloat(double) -> float","double val","float","float"
"TIFFWriteDirectoryTagSampleformatArray","TIFFErrorExtR","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_error.c",1457,1537,107,107,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteDirectoryTagSampleformatArray","_TIFFmallocExt","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_open.c",1457,1537,164,164,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFWriteDirectoryTagSampleformatArray","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_open.c",1457,1537,266,266,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagDoubleArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1829,1829,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagDoubleArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagFloatArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1821,1821,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagFloatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, float *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, float * value","int","int"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagSlongArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1638,1638,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagSlongArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, int32_t *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, int32_t * value","int","int"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagLongArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1630,1630,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagLongArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, uint32_t *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, uint32_t * value","int","int"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagSshortArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1615,1615,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagSshortArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, int16_t *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, int16_t * value","int","int"
"TIFFWriteDirectoryTagSampleformatArray","TIFFWriteDirectoryTagShortArray","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirwrite.c",1457,1537,1578,1578,"TIFFWriteDirectoryTagSampleformatArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, double *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, double * value","int","int","TIFFWriteDirectoryTagShortArray(TIFF *, uint32_t *, TIFFDirEntry *, uint16_t, uint32_t, uint16_t *) -> int","TIFF * tif, uint32_t * ndir, TIFFDirEntry * dir, uint16_t tag, uint32_t count, uint16_t * value","int","int"
